entry_ts,exit_ts,label,exit_type,pnl_1x,entry_price,sl,tp,gap_atr_ratio,gap_dollars,gap_m1_atr_ratio,h1_atr,m1_atr,h1_vol_pct,hour_et,dow_et,m1_bars_since_sweep,m1_bars_since_choch
2025-01-31T18:35:00+00:00,2025-01-31T19:08:00+00:00,1,TP,213.0,21792.5,21881.25,21686.0,0.305771,35.5,0.695397,58.05,25.525,0.1417,13,4,35,5
2025-01-31T19:08:00+00:00,2025-01-31T20:11:00+00:00,0,TIME,274.0,21714.5,21848.25,21554.0,0.474291,53.5,1.10766,56.4,24.15,0.1167,14,4,68,38
2025-02-07T15:31:00+00:00,2025-02-07T15:54:00+00:00,1,TP,183.0,21763.0,21839.25,21671.5,0.317048,30.5,0.591085,48.1,25.8,0.1083,10,4,91,16
2025-02-12T13:37:00+00:00,2025-02-12T14:47:00+00:00,0,TIME,-205.0,21572.5,21708.75,21409.0,0.707333,54.5,0.955721,38.525,28.5125,0.0417,8,2,195,195
2025-02-13T14:39:00+00:00,2025-02-13T15:41:00+00:00,0,SL,-257.5,21910.5,22039.25,21756.0,0.525242,51.5,1.520295,49.025,16.9375,0.3167,9,3,158,143
2025-02-20T15:01:00+00:00,2025-02-20T15:21:00+00:00,0,SL,-137.5,22020.5,22089.25,21938.0,0.378137,27.5,0.549451,36.3625,25.025,0.2667,10,3,1,1
2025-02-20T16:17:00+00:00,2025-02-20T17:22:00+00:00,0,TIME,-72.5,22047.5,22116.25,21965.0,0.316547,27.5,0.801165,43.4375,17.1625,0.5,11,3,77,77
2025-02-24T15:03:00+00:00,2025-02-24T16:14:00+00:00,0,TIME,45.5,21550.0,21666.25,21410.5,0.458467,46.5,0.918519,50.7125,25.3125,0.7,10,0,3,3
2025-02-26T15:30:00+00:00,2025-02-26T16:06:00+00:00,0,SL,-140.0,21312.5,21382.5,21228.5,0.272705,28.0,0.703076,51.3375,19.9125,0.3167,10,2,210,60
2025-02-26T19:59:00+00:00,2025-02-26T20:45:00+00:00,0,SL,-147.5,21123.0,21196.75,21034.5,0.272706,29.5,1.075661,54.0875,13.7125,0.4,14,2,179,74
2025-02-28T19:23:00+00:00,2025-02-28T19:51:00+00:00,0,SL,-255.0,20588.0,20715.5,20435.0,0.283019,51.0,1.273408,90.1,20.025,0.6417,14,4,83,83
2025-03-21T12:42:00+00:00,2025-03-21T14:52:00+00:00,0,TIME,9.0,19729.0,19872.75,19556.5,0.432331,57.5,2.530253,66.5,11.3625,0.1333,8,4,222,222
2025-03-26T18:49:00+00:00,2025-03-26T20:01:00+00:00,0,TIME,-86.5,20070.75,20143.25,19983.75,0.283757,29.0,1.315193,51.1,11.025,0.4333,14,2,61,61
2025-03-27T13:34:00+00:00,2025-03-27T14:39:00+00:00,0,SL,-277.5,20015.5,20154.25,19849.0,0.494322,55.5,1.859296,56.1375,14.925,0.4583,9,3,154,4
2025-03-28T13:54:00+00:00,2025-03-28T14:09:00+00:00,1,TP,192.0,19872.25,19952.25,19776.25,0.273563,32.0,0.538041,58.4875,29.7375,0.5,9,4,114,69
2025-04-02T14:10:00+00:00,2025-04-02T15:18:00+00:00,0,TIME,-66.0,19562.0,19665.75,19437.5,0.321705,41.5,0.78673,64.5,26.375,0.175,10,2,190,190
2025-04-25T14:23:00+00:00,2025-04-25T15:40:00+00:00,0,TIME,-24.5,19326.25,19441.25,19188.25,0.287905,46.0,0.784314,79.8875,29.325,0.075,10,4,203,203
2025-04-30T12:23:00+00:00,2025-04-30T12:40:00+00:00,1,TP,216.0,19446.5,19536.5,19338.5,0.294178,36.0,1.535181,61.1875,11.725,0.0083,8,2,137,23
2025-04-30T12:43:00+00:00,2025-04-30T13:39:00+00:00,1,TP,204.0,19309.5,19394.5,19207.5,0.277835,34.0,0.635217,61.1875,26.7625,0.0083,8,2,157,43
