pnl,win,bars_held,exit_type,timestamp,direction
-46.8,0,1,sl,2026-01-07T15:39:00+00:00,bullish
20.45,1,3,tp,2026-01-09T08:05:00+00:00,bullish
-11.8,0,3,sl,2026-01-09T19:56:00+00:00,bullish
-7.8,0,1,sl,2026-01-12T08:14:00+00:00,bullish
-25.3,0,12,sl,2026-01-12T15:34:00+00:00,bullish
-13.3,0,7,sl,2026-01-12T20:04:00+00:00,bullish
-12.8,0,1,sl,2026-01-13T08:34:00+00:00,bullish
14.7,1,1,tp,2026-01-14T08:03:00+00:00,bullish
-20.8,0,1,sl,2026-01-14T19:55:00+00:00,bullish
-7.3,0,8,sl,2026-01-16T08:14:00+00:00,bullish
-11.8,0,1,sl,2026-01-16T19:12:00+00:00,bullish
43.45,1,7,tp,2026-01-19T08:31:00+00:00,bullish
-26.3,0,5,sl,2026-01-20T19:14:00+00:00,bullish
33.2,1,8,tp,2026-01-21T08:37:00+00:00,bullish
-10.3,0,3,sl,2026-01-23T19:12:00+00:00,bullish
31.95,1,11,tp,2026-01-26T08:13:00+00:00,bullish
90.45,1,24,tp,2026-01-26T15:29:00+00:00,bullish
29.2,1,2,tp,2026-01-27T09:03:00+00:00,bullish
-11.8,0,1,sl,2026-01-27T15:52:00+00:00,bullish
19.95,1,9,tp,2026-01-27T19:42:00+00:00,bullish
-16.8,0,4,sl,2026-01-28T08:04:00+00:00,bullish
-16.8,0,13,sl,2026-01-29T08:25:00+00:00,bullish
33.2,1,4,tp,2026-01-29T19:09:00+00:00,bullish
43.45,1,9,tp,2026-02-02T08:42:00+00:00,bullish
38.95,1,1,tp,2026-02-05T08:06:00+00:00,bullish
64.7,1,2,tp,2026-02-05T19:09:00+00:00,bullish
-16.3,0,15,sl,2026-02-06T08:19:00+00:00,bullish
-14.8,0,6,sl,2026-02-09T08:19:00+00:00,bullish
-11.3,0,1,sl,2026-02-10T08:20:00+00:00,bullish
-56.8,0,39,sl,2026-02-10T15:18:00+00:00,bullish
-13.8,0,1,sl,2026-02-10T19:11:00+00:00,bullish
-15.8,0,7,sl,2026-02-12T08:06:00+00:00,bullish
-73.8,0,1,sl,2026-02-12T15:41:00+00:00,bullish
-15.3,0,1,sl,2026-02-13T08:16:00+00:00,bullish
38.7,1,7,tp,2026-02-16T08:13:00+00:00,bullish
-17.8,0,1,sl,2026-02-17T08:15:00+00:00,bullish
-9.8,0,4,sl,2026-02-18T08:41:00+00:00,bullish
58.7,1,4,tp,2026-02-18T15:52:00+00:00,bullish
31.2,1,2,tp,2026-02-19T08:29:00+00:00,bullish
-30.8,0,3,sl,2026-02-19T15:19:00+00:00,bullish
62.2,1,9,tp,2026-02-19T19:15:00+00:00,bullish
-92.3,0,1,sl,2026-02-20T15:06:00+00:00,bullish
-19.8,0,17,sl,2026-02-23T08:26:00+00:00,bullish
-15.3,0,3,sl,2026-02-25T08:09:00+00:00,bullish
-20.3,0,5,sl,2026-02-26T08:28:00+00:00,bullish
-22.8,0,2,sl,2026-02-26T19:59:00+00:00,bullish
-8.8,0,2,sl,2026-02-27T08:22:00+00:00,bullish
58.7,1,1,tp,2026-03-02T15:50:00+00:00,bullish
-57.3,0,1,sl,2026-03-04T15:04:00+00:00,bullish
170.45,1,4,tp,2026-03-06T15:10:00+00:00,bullish
-32.3,0,3,sl,2026-03-09T08:43:00+00:00,bullish
93.7,1,19,tp,2026-03-09T15:35:00+00:00,bullish
-11.8,0,2,sl,2026-03-10T15:07:00+00:00,bullish
-27.8,0,1,sl,2026-03-10T19:21:00+00:00,bullish
-9.8,0,2,sl,2026-03-11T08:19:00+00:00,bullish
104.95,1,28,tp,2026-03-11T16:03:00+00:00,bullish
40.95,1,2,tp,2026-03-11T19:24:00+00:00,bullish
-12.3,0,2,sl,2026-03-12T08:14:00+00:00,bullish
-30.3,0,6,sl,2026-03-12T15:31:00+00:00,bullish
-18.8,0,39,sl,2026-03-13T20:12:00+00:00,bullish
-24.3,0,5,sl,2026-03-16T08:16:00+00:00,bullish
-32.8,0,1,sl,2026-03-16T19:13:00+00:00,bullish
-22.8,0,2,sl,2026-03-17T08:05:00+00:00,bullish
-12.8,0,2,sl,2026-03-17T19:04:00+00:00,bullish
-72.8,0,11,sl,2026-03-19T15:21:00+00:00,bullish
142.95,1,35,tp,2026-03-20T15:27:00+00:00,bullish
-26.8,0,1,sl,2026-03-20T19:06:00+00:00,bullish
-27.8,0,1,sl,2026-03-23T19:51:00+00:00,bullish
35.45,1,4,tp,2026-03-24T08:02:00+00:00,bullish
-23.8,0,2,sl,2026-03-26T08:10:00+00:00,bullish
-26.3,0,11,sl,2026-03-26T15:21:00+00:00,bullish
82.2,1,4,tp,2026-03-27T15:25:00+00:00,bullish
-17.8,0,1,sl,2026-03-27T19:21:00+00:00,bullish
48.95,1,4,tp,2026-03-30T08:08:00+00:00,bullish
-42.3,0,2,sl,2026-03-30T15:15:00+00:00,bullish
43.45,1,4,tp,2026-03-30T19:39:00+00:00,bullish
-16.8,0,5,sl,2026-03-31T08:19:00+00:00,bullish
79.95,1,2,tp,2026-03-31T19:09:00+00:00,bullish
-22.3,0,6,sl,2026-04-02T19:17:00+00:00,bullish
-4.8,0,5,sl,2026-04-03T08:04:00+00:00,bullish
77.95,1,70,tp,2026-04-06T19:56:00+00:00,bullish
139.95,1,13,tp,2026-04-07T08:09:00+00:00,bullish
48.45,1,1,tp,2026-04-07T15:32:00+00:00,bullish
40.2,1,1,tp,2026-04-08T19:54:00+00:00,bullish
33.95,1,2,tp,2026-04-09T08:03:00+00:00,bullish
104.95,1,9,tp,2026-04-09T15:39:00+00:00,bullish
40.2,1,12,tp,2026-04-09T19:19:00+00:00,bullish
-13.8,0,3,sl,2026-04-10T08:49:00+00:00,bullish
35.45,1,3,tp,2026-04-10T15:21:00+00:00,bullish
-12.8,0,8,sl,2026-04-13T08:09:00+00:00,bullish
-24.8,0,11,sl,2026-04-13T15:44:00+00:00,bullish
51.7,1,8,tp,2026-04-13T19:43:00+00:00,bullish
13.95,1,1,tp,2026-04-14T08:11:00+00:00,bullish
-7.8,0,1,sl,2026-04-14T15:58:00+00:00,bullish
-11.8,0,1,sl,2026-04-14T19:35:00+00:00,bullish
12.7,1,4,tp,2026-04-15T08:22:00+00:00,bullish
59.95,1,58,tp,2026-04-15T20:06:00+00:00,bullish
127.45,1,18,tp,2026-04-16T15:43:00+00:00,bullish
56.45,1,22,tp,2026-04-16T19:11:00+00:00,bullish
9.95,1,6,tp,2026-04-17T08:23:00+00:00,bullish
-40.3,0,16,sl,2026-04-17T15:44:00+00:00,bullish
-41.8,0,8,sl,2026-04-20T15:37:00+00:00,bullish
-12.3,0,1,sl,2026-04-21T09:00:00+00:00,bullish
110.7,1,11,tp,2026-04-21T19:15:00+00:00,bullish
28.95,1,1,tp,2026-04-22T19:51:00+00:00,bullish
-43.3,0,1,sl,2026-04-23T19:35:00+00:00,bullish
