pnl,win,bars_held,exit_type,timestamp,direction
-56.8,0,29,sl,2025-09-19 15:24:00,bearish
-23.3,0,120,time,2025-09-19 16:36:00,bearish
-29.3,0,6,sl,2025-09-19 18:56:00,bearish
-64.3,0,12,sl,2025-09-22 14:18:00,bearish
-51.8,0,46,sl,2025-09-22 15:24:00,bearish
-54.3,0,14,sl,2025-09-22 16:27:00,bearish
-49.3,0,60,sl,2025-09-22 17:18:00,bearish
-34.3,0,21,sl,2025-09-22 18:26:00,bearish
25.7,1,40,tp,2025-09-22 18:58:00,bearish
23.7,1,120,time,2025-09-22 19:55:00,bearish
-61.8,0,68,sl,2025-09-23 07:13:00,bearish
23.2,1,12,tp,2025-09-23 08:39:00,bearish
23.2,1,66,tp,2025-09-23 09:09:00,bearish
23.2,1,4,tp,2025-09-23 11:10:00,bearish
-29.3,0,17,sl,2025-09-23 11:17:00,bearish
-24.3,0,10,sl,2025-09-23 11:41:00,bearish
33.7,1,120,time,2025-09-23 14:06:00,bearish
-39.3,0,10,sl,2025-09-23 16:26:00,bullish
65.7,1,7,tp,2025-09-24 17:04:00,bullish
60.7,1,21,tp,2025-09-24 17:15:00,bullish
45.7,1,13,tp,2025-09-24 18:26:00,bullish
34.7,1,120,time,2025-09-24 19:02:00,bullish
43.2,1,74,tp,2025-09-26 07:26:00,bearish
-32.3,0,120,time,2025-09-26 09:33:00,bearish
38.2,1,30,tp,2025-09-26 12:01:00,bullish
-141.8,0,16,sl,2025-09-26 13:52:00,bullish
162.7,1,120,time,2025-09-26 14:48:00,bullish
118.2,1,30,tp,2025-09-26 18:11:00,bullish
40.7,1,71,tp,2025-09-26 19:02:00,bullish
-29.3,0,7,sl,2025-09-28 23:43:00,bearish
-31.8,0,31,sl,2025-09-29 01:16:00,bearish
-31.8,0,61,sl,2025-09-29 02:11:00,bearish
38.2,1,8,tp,2025-09-29 19:43:00,bullish
18.2,1,20,tp,2025-09-29 23:06:00,bullish
45.7,1,30,tp,2025-09-30 08:20:00,bullish
38.2,1,23,tp,2025-09-30 09:08:00,bullish
-4.05,0,120,time,2025-09-30 09:38:00,bullish
-94.3,0,7,sl,2025-09-30 13:48:00,bullish
-26.55,0,120,time,2025-09-30 15:57:00,bullish
-46.8,0,19,sl,2025-09-30 19:08:00,bearish
-46.8,0,7,sl,2025-09-30 19:34:00,bullish
-99.3,0,8,sl,2025-09-30 19:46:00,bearish
38.2,1,32,tp,2025-10-01 19:14:00,bearish
-39.3,0,30,sl,2025-10-01 23:46:00,bearish
47.2,1,120,time,2025-10-02 14:01:00,bullish
38.2,1,16,tp,2025-10-02 17:10:00,bullish
50.7,1,78,tp,2025-10-02 17:47:00,bullish
-39.3,0,4,sl,2025-10-02 19:35:00,bullish
-34.3,0,21,sl,2025-10-03 06:13:00,bearish
-21.8,0,13,sl,2025-10-03 06:51:00,bearish
23.2,1,20,tp,2025-10-03 07:12:00,bearish
-21.8,0,23,sl,2025-10-03 09:21:00,bearish
53.2,1,24,tp,2025-10-03 11:07:00,bearish
-29.3,0,3,sl,2025-10-03 11:38:00,bearish
31.45,1,120,time,2025-10-03 13:47:00,bearish
-71.8,0,62,sl,2025-10-03 15:59:00,bullish
-109.3,0,27,sl,2025-10-03 17:20:00,bullish
-81.8,0,18,sl,2025-10-03 18:32:00,bullish
43.2,1,61,tp,2025-10-06 08:20:00,bullish
40.7,1,38,tp,2025-10-06 09:26:00,bullish
-49.3,0,2,sl,2025-10-06 13:31:00,bullish
78.2,1,9,tp,2025-10-06 13:35:00,bearish
-69.3,0,53,sl,2025-10-06 14:53:00,bearish
-41.8,0,66,sl,2025-10-06 16:17:00,bearish
28.2,1,3,tp,2025-10-06 18:54:00,bearish
53.2,1,26,tp,2025-10-06 19:51:00,bearish
18.2,1,3,tp,2025-10-07 00:01:00,bearish
-38.3,0,120,time,2025-10-07 00:42:00,bearish
20.7,1,5,tp,2025-10-08 06:01:00,bearish
-54.3,0,86,sl,2025-10-08 06:09:00,bearish
35.7,1,38,tp,2025-10-08 07:56:00,bullish
