entry_time,exit_time,direction,entry_price,exit_price,exit_type,bars_held,pnl
2026-02-11T15:14:00+00:00,2026-02-11T15:54:00+00:00,SHORT,25195.5,25247.5,sl,39,-524.0
2026-02-12T15:10:00+00:00,2026-02-12T15:23:00+00:00,SHORT,25205.5,25247.5,sl,12,-424.0
2026-02-17T00:07:00+00:00,2026-02-17T01:10:00+00:00,SHORT,24813.25,24812.5,time,60,3.5
2026-02-19T12:03:00+00:00,2026-02-19T13:06:00+00:00,SHORT,24849.0,24859.5,time,60,-109.0
2026-02-19T14:37:00+00:00,2026-02-19T14:53:00+00:00,SHORT,24820.75,24871.75,sl,15,-514.0
2026-02-20T17:17:00+00:00,2026-02-20T17:53:00+00:00,SHORT,24967.75,25018.75,sl,19,-514.0
2026-02-25T15:36:00+00:00,2026-02-25T16:43:00+00:00,SHORT,25312.5,25325.75,time,60,-136.5
2026-02-26T15:16:00+00:00,2026-02-26T17:27:00+00:00,SHORT,25077.5,24963.5,time,60,1136.0
2026-03-12T13:47:00+00:00,2026-03-12T14:51:00+00:00,SHORT,24961.75,24814.25,time,60,1471.0
2026-03-18T12:32:00+00:00,2026-03-18T14:26:00+00:00,SHORT,24998.25,24882.25,tp,39,1156.0
2026-03-18T14:27:00+00:00,2026-03-18T15:07:00+00:00,SHORT,24877.0,24921.0,sl,7,-444.0
2026-04-02T01:32:00+00:00,2026-04-02T02:36:00+00:00,SHORT,23960.0,23880.0,time,60,796.0
2026-04-06T14:40:00+00:00,2026-04-06T15:41:00+00:00,SHORT,24331.5,24290.0,time,60,411.0
2026-04-06T22:25:00+00:00,2026-04-07T01:16:00+00:00,SHORT,24337.5,24261.5,time,60,756.0
2026-04-09T17:32:00+00:00,2026-04-09T17:39:00+00:00,SHORT,25213.5,25244.5,sl,6,-314.0
2026-04-22T13:50:00+00:00,2026-04-22T14:02:00+00:00,SHORT,26852.5,26899.5,sl,7,-474.0
2026-04-27T13:52:00+00:00,2026-04-27T13:55:00+00:00,SHORT,27336.5,27367.0,sl,1,-309.0
2026-05-04T10:04:00+00:00,2026-05-04T13:13:00+00:00,SHORT,27864.0,27844.5,time,60,191.0
2026-05-13T12:22:00+00:00,2026-05-13T13:24:00+00:00,SHORT,29340.5,29291.25,time,60,488.5
