day,dir,reason,pnl_pts,entry_t,exit_t,day_ts
2025-09-17,-1,EOD,-62.75,11:31,16:00,2025-09-17
2025-09-18,1,EOD,-87.75,10:31,16:00,2025-09-18
2025-09-22,1,EOD,26.25,12:31,16:00,2025-09-22
2025-09-23,-1,EOD,110.0,10:01,16:00,2025-09-23
2025-09-24,-1,EOD,-60.0,12:01,16:00,2025-09-24
2025-09-25,-1,EOD,-179.25,10:01,16:00,2025-09-25
2025-09-26,1,EOD,19.5,10:01,16:00,2025-09-26
2025-09-29,1,EOD,-104.75,10:01,16:00,2025-09-29
2025-10-01,1,EOD,27.5,13:31,16:00,2025-10-01
2025-10-03,-1,EOD,-22.5,14:01,16:00,2025-10-03
2025-10-07,-1,EOD,30.0,11:31,16:00,2025-10-07
2025-10-08,1,EOD,155.25,10:01,16:00,2025-10-08
2025-10-09,-1,EOD,-43.0,10:31,16:00,2025-10-09
2025-10-10,-1,EOD,791.5,11:01,16:00,2025-10-10
2025-10-13,1,EOD,34.0,10:01,16:00,2025-10-13
2025-10-14,-1,EOD,-181.25,10:01,16:00,2025-10-14
2025-10-15,1,EOD,-176.75,10:31,16:00,2025-10-15
2025-10-16,-1,EOD,-133.75,14:31,16:00,2025-10-16
2025-10-17,1,EOD,79.25,10:31,16:00,2025-10-17
2025-10-20,1,EOD,78.25,10:01,16:00,2025-10-20
2025-10-21,-1,EOD,-56.25,10:01,16:00,2025-10-21
2025-10-22,-1,EOD,85.5,10:31,16:00,2025-10-22
2025-10-23,1,EOD,91.75,10:01,16:00,2025-10-23
2025-10-30,-1,EOD,148.0,10:31,16:00,2025-10-30
2025-11-05,1,EOD,54.5,10:01,16:00,2025-11-05
2025-11-06,-1,EOD,254.75,10:01,16:00,2025-11-06
2025-11-07,-1,EOD,-158.0,10:01,16:00,2025-11-07
2025-11-10,1,EOD,76.0,10:01,16:00,2025-11-10
2025-11-13,-1,EOD,282.0,10:01,16:00,2025-11-13
2025-11-14,1,EOD,-135.75,11:31,16:00,2025-11-14
2025-11-17,-1,EOD,-131.0,15:01,16:00,2025-11-17
2025-11-18,-1,EOD,-62.5,10:01,16:00,2025-11-18
2025-11-19,1,EOD,-169.75,10:01,16:00,2025-11-19
2025-11-20,-1,EOD,311.5,12:31,16:00,2025-11-20
2025-11-21,1,EOD,-164.0,14:01,16:00,2025-11-21
2025-11-24,1,EOD,252.0,10:01,16:00,2025-11-24
2025-12-05,1,EOD,-118.5,10:37,16:00,2025-12-05
2025-12-08,-1,EOD,-73.5,14:43,16:00,2025-12-08
2025-12-11,-1,EOD,-305.0,10:01,16:00,2025-12-11
2025-12-12,-1,EOD,110.25,10:31,16:00,2025-12-12
2025-12-17,-1,EOD,166.0,11:01,16:00,2025-12-17
2025-12-19,1,EOD,21.75,10:01,16:00,2025-12-19
2025-12-31,-1,EOD,23.0,15:31,16:00,2025-12-31
