ts_utc,equity,buying_power,contracts
2026-07-03T14:46:23.603049+00:00,100652.05,100652.05,1
2026-07-03T14:46:53.862363+00:00,100652.05,100652.05,1
2026-07-03T14:47:24.124236+00:00,100652.05,100652.05,1
2026-07-03T14:47:54.401010+00:00,100652.05,100652.05,1
2026-07-03T14:48:24.655043+00:00,100652.05,100652.05,1
2026-07-03T14:48:54.931270+00:00,100652.05,100652.05,1
2026-07-03T14:49:25.189472+00:00,100652.05,100652.05,1
2026-07-03T14:49:55.456508+00:00,100652.05,100652.05,1
2026-07-03T14:50:25.710407+00:00,100652.05,100652.05,1
2026-07-03T14:50:55.975779+00:00,100652.05,100652.05,1
2026-07-03T14:51:26.229815+00:00,100652.05,100652.05,1
2026-07-03T14:51:56.501758+00:00,100652.05,100652.05,1
2026-07-03T14:52:26.750941+00:00,100652.05,100652.05,1
2026-07-03T14:52:57.002506+00:00,100652.05,100652.05,1
2026-07-03T14:53:27.257310+00:00,100652.05,100652.05,1
2026-07-03T14:53:57.536846+00:00,100652.05,100652.05,1
2026-07-03T14:54:27.791091+00:00,100652.05,100652.05,1
2026-07-03T14:54:58.065639+00:00,100652.05,100652.05,1
2026-07-03T14:55:28.321593+00:00,100652.05,100652.05,1
2026-07-03T14:55:58.581645+00:00,100652.05,100652.05,1
2026-07-03T14:56:28.831280+00:00,100652.05,100652.05,1
2026-07-03T14:56:59.105810+00:00,100652.05,100652.05,1
2026-07-03T14:57:29.354115+00:00,100652.05,100652.05,1
2026-07-03T14:57:59.602621+00:00,100652.05,100652.05,1
2026-07-03T14:58:29.853258+00:00,100652.05,100652.05,1
2026-07-03T14:59:00.113198+00:00,100652.05,100652.05,1
2026-07-03T14:59:30.363270+00:00,100652.05,100652.05,1
2026-07-03T15:00:00.651903+00:00,100652.05,100652.05,1
2026-07-03T15:00:30.904091+00:00,100652.05,100652.05,1
2026-07-03T15:01:01.163499+00:00,100652.05,100652.05,1
2026-07-03T15:01:31.411975+00:00,100652.05,100652.05,1
2026-07-03T15:02:01.697904+00:00,100652.05,100652.05,1
2026-07-03T15:02:31.949650+00:00,100652.05,100652.05,1
2026-07-03T15:03:02.231568+00:00,100652.05,100652.05,1
2026-07-03T15:03:32.485396+00:00,100652.05,100652.05,1
2026-07-03T15:04:02.745985+00:00,100652.05,100652.05,1
2026-07-03T15:04:32.996158+00:00,100652.05,100652.05,1
2026-07-03T15:05:03.263530+00:00,100652.05,100652.05,1
2026-07-03T15:05:33.518071+00:00,100652.05,100652.05,1
2026-07-03T15:06:03.800841+00:00,100652.05,100652.05,1
2026-07-03T15:06:34.052167+00:00,100652.05,100652.05,1
2026-07-03T15:07:04.329579+00:00,100652.05,100652.05,1
2026-07-03T15:07:34.582550+00:00,100652.05,100652.05,1
2026-07-03T15:08:04.856514+00:00,100652.05,100652.05,1
2026-07-03T15:08:35.107083+00:00,100652.05,100652.05,1
2026-07-03T15:09:05.358537+00:00,100652.05,100652.05,1
2026-07-03T15:09:35.606243+00:00,100652.05,100652.05,1
2026-07-03T15:10:05.905978+00:00,100652.05,100652.05,1
2026-07-03T15:10:36.166067+00:00,100652.05,100652.05,1
2026-07-03T15:11:06.429334+00:00,100652.05,100652.05,1
2026-07-03T15:11:36.697693+00:00,100652.05,100652.05,1
2026-07-03T15:12:06.984802+00:00,100652.05,100652.05,1
2026-07-03T15:12:37.239103+00:00,100652.05,100652.05,1
2026-07-03T15:13:07.495672+00:00,100652.05,100652.05,1
2026-07-03T15:13:37.750250+00:00,100652.05,100652.05,1
2026-07-03T15:14:08.029158+00:00,100652.05,100652.05,1
2026-07-03T15:14:38.284868+00:00,100652.05,100652.05,1
2026-07-03T15:15:08.561167+00:00,100652.05,100652.05,1
2026-07-03T15:15:38.818344+00:00,100652.05,100652.05,1
2026-07-03T15:16:09.087721+00:00,100652.05,100652.05,1
2026-07-03T15:16:39.339082+00:00,100652.05,100652.05,1
2026-07-03T15:17:09.601930+00:00,100652.05,100652.05,1
2026-07-03T15:17:39.860733+00:00,100652.05,100652.05,1
2026-07-03T15:18:10.122438+00:00,100652.05,100652.05,1
2026-07-03T15:18:40.372746+00:00,100652.05,100652.05,1
2026-07-03T15:19:10.654265+00:00,100652.05,100652.05,1
2026-07-03T15:19:40.899457+00:00,100652.05,100652.05,1
2026-07-03T15:20:11.170652+00:00,100652.05,100652.05,1
2026-07-03T15:20:41.425238+00:00,100652.05,100652.05,1
2026-07-03T15:21:11.704291+00:00,100652.05,100652.05,1
2026-07-03T15:21:41.957349+00:00,100652.05,100652.05,1
2026-07-03T15:22:12.227585+00:00,100652.05,100652.05,1
2026-07-03T15:22:42.484826+00:00,100652.05,100652.05,1
2026-07-03T15:23:12.736019+00:00,100652.05,100652.05,1
2026-07-03T15:23:42.987266+00:00,100652.05,100652.05,1
2026-07-03T15:24:13.837624+00:00,100652.05,100652.05,1
2026-07-03T15:24:44.089860+00:00,100652.05,100652.05,1
2026-07-03T15:25:14.360248+00:00,100652.05,100652.05,1
2026-07-03T15:25:44.610499+00:00,100652.05,100652.05,1
