ts_utc,equity,buying_power,contracts
2026-07-30T06:19:23.243778+00:00,100083.85,100083.85,1
2026-07-30T06:19:53.500690+00:00,100083.85,100083.85,1
2026-07-30T06:20:23.753753+00:00,100083.85,100083.85,1
2026-07-30T06:20:54.005231+00:00,100083.85,100083.85,1
2026-07-30T06:21:24.259926+00:00,100083.85,100083.85,1
2026-07-30T06:21:54.510141+00:00,100083.85,100083.85,1
2026-07-30T06:22:24.788218+00:00,100083.85,100083.85,1
2026-07-30T06:22:55.039551+00:00,100083.85,100083.85,1
2026-07-30T06:23:25.295652+00:00,100083.85,100083.85,1
2026-07-30T06:23:55.545451+00:00,100083.85,100083.85,1
2026-07-30T06:24:25.800002+00:00,100083.85,100083.85,1
2026-07-30T06:24:56.052273+00:00,100083.85,100083.85,1
2026-07-30T06:25:26.303741+00:00,100083.85,100083.85,1
2026-07-30T06:25:56.566457+00:00,100083.85,100083.85,1
2026-07-30T06:26:26.818941+00:00,100083.85,100083.85,1
2026-07-30T06:26:57.074847+00:00,100083.85,100083.85,1
2026-07-30T06:27:27.341082+00:00,100083.85,100083.85,1
2026-07-30T06:27:57.600258+00:00,100083.85,100083.85,1
2026-07-30T06:28:27.871320+00:00,100083.85,100083.85,1
2026-07-30T06:28:58.123668+00:00,100083.85,100083.85,1
2026-07-30T06:29:28.378565+00:00,100083.85,100083.85,1
2026-07-30T06:29:58.635886+00:00,100083.85,100083.85,1
2026-07-30T06:30:28.893045+00:00,100083.85,100083.85,1
2026-07-30T06:30:59.150417+00:00,100083.85,100083.85,1
2026-07-30T06:31:29.406777+00:00,100083.85,100083.85,1
2026-07-30T06:31:59.665513+00:00,100083.85,100083.85,1
2026-07-30T06:32:29.919691+00:00,100083.85,100083.85,1
2026-07-30T06:33:00.208140+00:00,100083.85,100083.85,1
2026-07-30T06:33:30.458117+00:00,100083.85,100083.85,1
2026-07-30T06:34:00.706428+00:00,100083.85,100083.85,1
2026-07-30T06:34:30.956383+00:00,100083.85,100083.85,1
2026-07-30T06:35:01.225747+00:00,100083.85,100083.85,1
2026-07-30T06:35:31.484036+00:00,100083.85,100083.85,1
2026-07-30T06:36:01.759049+00:00,100083.85,100083.85,1
2026-07-30T06:36:32.021442+00:00,100083.85,100083.85,1
2026-07-30T06:37:02.286309+00:00,100083.85,100083.85,1
2026-07-30T06:37:32.554146+00:00,100083.85,100083.85,1
2026-07-30T06:38:02.819055+00:00,100083.85,100083.85,1
2026-07-30T06:38:33.073409+00:00,100083.85,100083.85,1
2026-07-30T06:39:03.322422+00:00,100083.85,100083.85,1
2026-07-30T06:39:33.570026+00:00,100083.85,100083.85,1
2026-07-30T06:40:03.836011+00:00,100083.85,100083.85,1
2026-07-30T06:40:34.089031+00:00,100083.85,100083.85,1
2026-07-30T06:41:04.354554+00:00,100083.85,100083.85,1
2026-07-30T06:41:34.605941+00:00,100083.85,100083.85,1
2026-07-30T06:42:04.859654+00:00,100083.85,100083.85,1
2026-07-30T06:42:35.110752+00:00,100083.85,100083.85,1
2026-07-30T06:43:05.364669+00:00,100083.85,100083.85,1
2026-07-30T06:43:35.614675+00:00,100083.85,100083.85,1
2026-07-30T06:44:05.862247+00:00,100083.85,100083.85,1
2026-07-30T06:44:36.116793+00:00,100083.85,100083.85,1
2026-07-30T06:45:06.375976+00:00,100083.85,100083.85,1
2026-07-30T06:45:36.622899+00:00,100083.85,100083.85,1
2026-07-30T06:46:06.874404+00:00,100083.85,100083.85,1
2026-07-30T06:46:37.129917+00:00,100083.85,100083.85,1
2026-07-30T06:47:07.382010+00:00,100083.85,100083.85,1
2026-07-30T06:47:37.633957+00:00,100083.85,100083.85,1
2026-07-30T06:48:07.901774+00:00,100083.85,100083.85,1
2026-07-30T06:48:38.155632+00:00,100083.85,100083.85,1
2026-07-30T06:49:08.415546+00:00,100083.85,100083.85,1
2026-07-30T06:49:38.669861+00:00,100083.85,100083.85,1
2026-07-30T06:50:08.923681+00:00,100083.85,100083.85,1
2026-07-30T06:50:39.181556+00:00,100083.85,100083.85,1
2026-07-30T06:51:09.431350+00:00,100083.85,100083.85,1
2026-07-30T06:51:39.695563+00:00,100083.85,100083.85,1
2026-07-30T06:52:09.949092+00:00,100083.85,100083.85,1
2026-07-30T06:52:40.697513+00:00,100083.85,100083.85,1
2026-07-30T06:53:10.945185+00:00,100083.85,100083.85,1
2026-07-30T06:53:41.205124+00:00,100083.85,100083.85,1
2026-07-30T06:54:11.452534+00:00,100083.85,100083.85,1
2026-07-30T06:54:43.535980+00:00,100083.85,100083.85,1
2026-07-30T06:55:13.781657+00:00,100083.85,100083.85,1
2026-07-30T06:55:44.209931+00:00,100083.85,100083.85,1
2026-07-30T06:56:14.483031+00:00,100083.85,100083.85,1
2026-07-30T06:56:45.797328+00:00,100083.85,100083.85,1
2026-07-30T06:57:16.048000+00:00,100083.85,100083.85,1
2026-07-30T06:57:46.308939+00:00,100083.85,100083.85,1
2026-07-30T06:58:16.554166+00:00,100083.85,100083.85,1
2026-07-30T06:58:46.834378+00:00,100083.85,100083.85,1
2026-07-30T06:59:17.086328+00:00,100083.85,100083.85,1
2026-07-30T06:59:47.429105+00:00,100083.85,100083.85,1
2026-07-30T07:00:17.682983+00:00,100083.85,100083.85,1
2026-07-30T07:00:47.954048+00:00,100083.85,100083.85,1
2026-07-30T07:01:18.202894+00:00,100083.85,100083.85,1
2026-07-30T07:01:48.469915+00:00,100083.85,100083.85,1
2026-07-30T07:02:18.728952+00:00,100083.85,100083.85,1
2026-07-30T07:02:49.003111+00:00,100083.85,100083.85,1
2026-07-30T07:03:19.270102+00:00,100083.85,100083.85,1
2026-07-30T07:03:49.536522+00:00,100083.85,100083.85,1
2026-07-30T07:04:19.797872+00:00,100083.85,100083.85,1
2026-07-30T07:04:50.080205+00:00,100083.85,100083.85,1
2026-07-30T07:05:20.336650+00:00,100083.85,100083.85,1
2026-07-30T07:05:50.599044+00:00,100083.85,100083.85,1
2026-07-30T07:06:20.848794+00:00,100083.85,100083.85,1
2026-07-30T07:06:51.133764+00:00,100083.85,100083.85,1
2026-07-30T07:07:21.379530+00:00,100083.85,100083.85,1
2026-07-30T07:07:51.660218+00:00,100083.85,100083.85,1
2026-07-30T07:08:21.917860+00:00,100083.85,100083.85,1
2026-07-30T07:08:52.189177+00:00,100083.85,100083.85,1
2026-07-30T07:09:22.440308+00:00,100083.85,100083.85,1
2026-07-30T07:09:52.686997+00:00,100083.85,100083.85,1
2026-07-30T07:10:22.941489+00:00,100083.85,100083.85,1
2026-07-30T07:10:53.204736+00:00,100083.85,100083.85,1
2026-07-30T07:11:23.456483+00:00,100083.85,100083.85,1
2026-07-30T07:11:53.720922+00:00,100083.85,100083.85,1
2026-07-30T07:12:23.976586+00:00,100083.85,100083.85,1
2026-07-30T07:12:54.246391+00:00,100083.85,100083.85,1
2026-07-30T07:13:24.495162+00:00,100083.85,100083.85,1
2026-07-30T07:13:54.767852+00:00,100083.85,100083.85,1
2026-07-30T07:14:25.020645+00:00,100083.85,100083.85,1
2026-07-30T07:14:55.356926+00:00,100083.85,100083.85,1
2026-07-30T07:15:25.605409+00:00,100083.85,100083.85,1
2026-07-30T07:15:55.877559+00:00,100083.85,100083.85,1
2026-07-30T07:16:26.127469+00:00,100083.85,100083.85,1
2026-07-30T07:16:56.390470+00:00,100083.85,100083.85,1
2026-07-30T07:17:26.643956+00:00,100083.85,100083.85,1
2026-07-30T07:17:56.892549+00:00,100083.85,100083.85,1
