root,symbol,observations,first,last,internal_missing,zero_volume,zero_oi,repeated_close_steps,longest_equal_close_run,repeat_flag_rows,after_broker_expiry
CL,CLG26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,2,2,0,0
CL,CLH25,34,2025-01-02T22:00:00Z,2025-02-20T22:00:00Z,0,0,0,0,1,0,0
CL,CLH26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,2,2,0,0
CL,CLJ25,54,2025-01-02T22:00:00Z,2025-03-20T21:00:00Z,0,0,0,0,1,0,0
CL,CLJ26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,1,2,0,0
CL,CLK25,76,2025-01-02T22:00:00Z,2025-04-22T21:00:00Z,0,0,0,0,1,0,0
CL,CLK26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,0,1,0,0
CL,CLM25,96,2025-01-02T22:00:00Z,2025-05-20T21:00:00Z,0,0,0,0,1,0,0
CL,CLM26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,0,1,0,0
CL,CLN25,117,2025-01-02T22:00:00Z,2025-06-20T21:00:00Z,0,0,0,0,1,0,0
CL,CLN26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,1,2,0,0
CL,CLQ25,138,2025-01-02T22:00:00Z,2025-07-22T21:00:00Z,0,0,0,3,2,0,0
CL,CLQ26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,1,2,0,0
CL,CLU25,159,2025-01-02T22:00:00Z,2025-08-20T21:00:00Z,0,0,0,2,2,0,0
CL,CLU26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,2,2,0,0
CL,CLV25,181,2025-01-02T22:00:00Z,2025-09-22T21:00:00Z,0,0,0,0,1,0,0
CL,CLV26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,1,0,1,2,0,0
CL,CLX25,202,2025-01-02T22:00:00Z,2025-10-21T21:00:00Z,0,0,0,1,2,0,0
CL,CLX26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,1,2,0,0
CL,CLZ25,224,2025-01-02T22:00:00Z,2025-11-20T22:00:00Z,0,0,0,1,2,0,0
CL,CLZ26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,0,0,0,1,0,0
ZC,CN25,131,2025-01-02T19:20:00Z,2025-07-14T18:20:00Z,0,0,0,1,2,0,0
ZC,CN26,250,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,0,0,0,9,3,1,0
ZC,CU25,174,2025-01-02T19:20:00Z,2025-09-12T18:20:00Z,0,0,0,3,2,0,0
ZC,CU26,250,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,0,0,0,9,2,0,0
ZC,CZ25,238,2025-01-02T19:20:00Z,2025-12-12T19:20:00Z,0,0,0,2,2,0,0
ZC,CZ26,250,2025-01-02T19:20:00Z,2025-12-31T19:20:00Z,0,0,0,8,2,0,0
HG,HGF25,19,2025-01-02T22:00:00Z,2025-01-29T22:00:00Z,0,0,0,0,1,0,0
HG,HGF26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,3,0,1,2,0,0
HG,HGG25,38,2025-01-02T22:00:00Z,2025-02-26T22:00:00Z,0,0,0,0,1,0,0
HG,HGG26,251,2025-01-02T22:00:00Z,2025-12-31T22:00:00Z,0,24,0,0,1,0,0
HG,HGH25,59,2025-01-02T22:00:00Z,2025-03-27T21:00:00Z,0,0,0,0,1,0,0
