date,dir,gap_pct,outcome,pnl_usd,net
2022-06-02,long,0.507,fill,127.5,122.05
2022-06-06,short,1.474,fill,370.0,364.55
2022-06-07,long,1.05,fill,264.5,259.05
2022-06-20,short,0.546,time,-99.0,-104.45
2022-06-22,long,0.679,fill,157.0,151.55
2022-06-23,short,0.803,fill,186.0,180.55
2022-06-27,short,0.569,fill,138.0,132.55
2022-06-30,long,1.26,time,161.0,155.55
2022-07-11,long,0.861,time,-250.5,-255.95
2022-07-12,short,0.545,fill,129.5,124.05
2022-07-13,long,2.048,fill,482.5,477.05
2022-07-14,long,1.028,time,-11.0,-16.45
2022-07-18,short,0.977,time,-52.5,-57.95
2022-07-19,short,1.252,time,-302.0,-307.45
2022-07-26,long,0.614,stop,-303.0,-308.45
2022-07-27,short,1.599,time,-259.0,-264.45
2022-08-01,long,0.572,fill,148.5,143.05
2022-08-02,long,0.768,fill,199.0,193.55
2022-08-03,short,0.563,stop,-291.0,-296.45
2022-08-09,long,0.618,time,-235.0,-240.45
2022-08-10,short,2.401,time,3.0,-2.45
2022-08-11,short,0.73,fill,195.5,190.05
2022-08-17,long,1.056,time,-82.5,-87.95
2022-08-22,long,1.419,time,-217.5,-222.95
2022-08-25,short,0.57,time,-28.0,-33.45
2022-08-29,long,0.986,time,121.0,115.55
2022-08-31,short,0.994,fill,245.5,240.05
2022-09-01,long,1.016,time,-285.0,-290.45
2022-09-19,long,0.982,fill,234.5,229.05
2022-09-20,long,0.894,time,63.5,58.05
2022-09-22,long,0.774,time,-108.5,-113.95
2022-09-27,short,1.242,fill,281.5,276.05
2022-09-29,long,1.53,time,-418.5,-423.95
2022-10-03,short,0.721,time,-182.5,-187.95
2022-10-04,short,2.002,time,-178.5,-183.95
2022-10-05,long,1.27,time,129.0,123.55
2022-10-11,long,0.612,fill,134.5,129.05
2022-10-13,long,2.912,fill,631.5,626.05
2022-10-17,short,2.423,time,-204.5,-209.95
2022-10-18,short,2.721,fill,604.0,598.55
2022-10-26,long,1.922,time,149.5,144.05
2022-10-31,long,0.756,time,-92.0,-97.45
2022-11-01,short,1.351,fill,309.0,303.55
2022-11-03,long,1.311,time,56.5,51.05
2022-11-07,short,0.589,fill,128.0,122.55
2022-11-08,short,0.554,fill,122.0,116.55
2022-11-09,long,0.71,time,-110.5,-115.95
2022-11-10,short,4.712,time,-166.0,-171.45
2022-11-14,long,0.684,fill,162.0,156.55
2022-11-15,short,2.489,time,115.5,110.05
2022-11-16,long,0.591,time,-56.0,-61.45
2022-11-17,long,1.641,time,372.5,367.05
2022-12-05,long,0.753,time,-205.5,-210.95
2022-12-07,long,0.506,fill,117.0,111.55
2022-12-20,long,0.632,fill,141.5,136.05
2022-12-22,long,1.191,stop,-540.0,-545.45
2022-12-29,short,1.093,time,-307.5,-312.95
2023-01-03,short,0.948,fill,209.0,203.55
2023-01-04,short,0.758,fill,166.0,160.55
2023-01-05,long,0.669,time,-151.0,-156.45
2023-01-09,short,0.801,stop,-356.0,-361.45
2023-01-18,short,0.658,fill,153.0,147.55
2023-01-19,long,0.675,time,-97.5,-102.95
2023-01-24,long,0.599,fill,143.0,137.55
2023-01-25,long,1.679,time,91.5,86.05
2023-01-26,short,1.24,time,30.5,25.05
