ts_utc,symbol,bid,ask,bid_size,ask_size,last,spread
2026-06-26T17:59:24Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T17:59:24Z,MHGU26,6.194,6.195,3,2,6.195,0.001000000000000334
2026-06-26T17:59:29Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T17:59:29Z,MHGU26,6.194,6.195,1,3,6.195,0.001000000000000334
2026-06-26T17:59:34Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T17:59:34Z,MHGU26,6.1935,6.1945,2,3,6.195,0.0009999999999994458
2026-06-26T17:59:40Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T17:59:40Z,MHGU26,6.1925,6.1935,3,3,6.193,0.001000000000000334
2026-06-26T17:59:45Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T17:59:45Z,MHGU26,6.192,6.193,3,3,6.193,0.0009999999999994458
2026-06-26T17:59:50Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T17:59:50Z,MHGU26,6.192,6.193,3,3,6.193,0.0009999999999994458
2026-06-26T17:59:56Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T17:59:56Z,MHGU26,6.192,6.193,3,3,6.193,0.0009999999999994458
2026-06-26T18:00:01Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:00:01Z,MHGU26,6.191,6.192,4,2,6.1915,0.001000000000000334
2026-06-26T18:00:07Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:00:07Z,MHGU26,6.191,6.192,4,2,6.191,0.001000000000000334
2026-06-26T18:00:12Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:00:12Z,MHGU26,6.191,6.192,1,3,6.191,0.001000000000000334
2026-06-26T18:00:17Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:00:17Z,MHGU26,6.1915,6.1925,2,3,6.191,0.001000000000000334
2026-06-26T18:00:23Z,MHGN26,6.115,6.159,1,5,6.1415,0.043999999999999595
2026-06-26T18:00:23Z,MHGU26,6.1915,6.193,5,3,6.191,0.0015000000000000568
