ts_utc,symbol,bid,ask,bid_size,ask_size,last,spread
2026-06-29T13:25:36Z,PLN26,1583.8,1584.7,3,1,1586,0.900000000000091
2026-06-29T13:25:36Z,PLV26,1598.6,1599.1,2,1,1599.8,0.5
2026-06-29T13:25:41Z,PLN26,1583.9,1585.1,3,1,1586,1.199999999999818
2026-06-29T13:25:41Z,PLV26,1598.7,1599.5,1,1,1599,0.7999999999999545
2026-06-29T13:25:47Z,PLN26,1583.9,1585.1,3,2,1586,1.199999999999818
2026-06-29T13:25:47Z,PLV26,1598.7,1599.5,1,2,1599,0.7999999999999545
2026-06-29T13:25:52Z,PLN26,1583.8,1584.7,3,1,1586,0.900000000000091
2026-06-29T13:25:52Z,PLV26,1598.6,1599.1,1,1,1599,0.5
2026-06-29T13:25:57Z,PLN26,1584.2,1585.4,3,1,1586,1.2000000000000455
2026-06-29T13:25:57Z,PLV26,1599,1599.8,1,1,1599.6,0.7999999999999545
2026-06-29T13:26:03Z,PLN26,1584.4,1585.6,3,2,1586,1.199999999999818
2026-06-29T13:26:03Z,PLV26,1599.2,1600,1,2,1599.6,0.7999999999999545
2026-06-29T13:26:08Z,PLN26,1583.8,1584.8,4,2,1586,1.0
2026-06-29T13:26:08Z,PLV26,1598.6,1599.2,2,2,1599.2,0.6000000000001364
2026-06-29T13:26:13Z,PLN26,1583.9,1585,3,2,1586,1.099999999999909
2026-06-29T13:26:13Z,PLV26,1598.7,1599.4,1,2,1599.2,0.7000000000000455
2026-06-29T13:26:19Z,PLN26,1583.3,1584.4,3,2,1586,1.1000000000001364
2026-06-29T13:26:19Z,PLV26,1598.1,1598.9,1,3,1598.3,0.8000000000001819
2026-06-29T13:26:24Z,PLN26,1581.4,1583.2,4,1,1583,1.7999999999999545
2026-06-29T13:26:24Z,PLV26,1597.4,1598.3,2,3,1597.8,0.8999999999998636
2026-06-29T13:26:29Z,PLN26,1581.5,1583.2,3,1,1583,1.7000000000000455
2026-06-29T13:26:29Z,PLV26,1597.5,1598.3,1,2,1597.8,0.7999999999999545
2026-06-29T13:26:35Z,PLN26,1581.9,1583.6,3,1,1583,1.699999999999818
2026-06-29T13:26:35Z,PLV26,1597.9,1598.7,1,2,1597.7,0.7999999999999545
2026-06-29T13:26:40Z,PLN26,1581.4,1583.1,3,1,1583,1.699999999999818
2026-06-29T13:26:40Z,PLV26,1597.4,1598.2,1,3,1597.9,0.7999999999999545
2026-06-29T13:26:45Z,PLN26,1581.4,1583.1,4,1,1583,1.699999999999818
2026-06-29T13:26:45Z,PLV26,1597.4,1598.2,2,2,1597.9,0.7999999999999545
2026-06-29T13:26:50Z,PLN26,1581.1,1582.6,3,1,1583,1.5
2026-06-29T13:26:50Z,PLV26,1597.1,1597.7,1,3,1597.4,0.6000000000001364
2026-06-29T13:26:56Z,PLN26,1580.6,1582.1,2,1,1583,1.5
2026-06-29T13:26:56Z,PLV26,1596.4,1597.2,2,3,1596.7,0.7999999999999545
2026-06-29T13:27:01Z,PLN26,1580.3,1582,4,1,1583,1.7000000000000455
2026-06-29T13:27:01Z,PLV26,1596.2,1597.1,1,4,1596.7,0.8999999999998636
2026-06-29T13:27:06Z,PLN26,1580.4,1582,3,1,1583,1.599999999999909
2026-06-29T13:27:06Z,PLV26,1596.4,1597.1,1,3,1596.7,0.6999999999998181
2026-06-29T13:27:12Z,PLN26,1580.5,1582,3,1,1583,1.5
2026-06-29T13:27:12Z,PLV26,1596.5,1597.1,1,3,1596.7,0.599999999999909
2026-06-29T13:27:17Z,PLN26,1580,1580.8,1,3,1580.2,0.7999999999999545
2026-06-29T13:27:17Z,PLV26,1595,1595.6,1,3,1595.6,0.599999999999909
2026-06-29T13:27:22Z,PLN26,1577.2,1579,2,1,1580,1.7999999999999545
2026-06-29T13:27:22Z,PLV26,1593.2,1593.9,2,1,1593.5,0.7000000000000455
2026-06-29T13:27:28Z,PLN26,1577.8,1579.5,3,2,1580,1.7000000000000455
2026-06-29T13:27:28Z,PLV26,1593.7,1594.4,2,2,1594.1,0.7000000000000455
2026-06-29T13:27:33Z,PLN26,1577.7,1579.3,3,1,1580,1.599999999999909
2026-06-29T13:27:33Z,PLV26,1593.6,1594.2,1,1,1594.1,0.6000000000001364
2026-06-29T13:27:38Z,PLN26,1578.1,1579.6,2,1,1580,1.5
2026-06-29T13:27:38Z,PLV26,1594,1594.5,1,1,1593.6,0.5
2026-06-29T13:27:44Z,PLN26,1578,1579.7,3,2,1580,1.7000000000000455
2026-06-29T13:27:44Z,PLV26,1593.9,1594.6,1,2,1594.5,0.6999999999998181
2026-06-29T13:27:49Z,PLN26,1578,1579.7,3,2,1580,1.7000000000000455
2026-06-29T13:27:49Z,PLV26,1593.9,1594.6,2,2,1594.5,0.6999999999998181
2026-06-29T13:27:54Z,PLN26,1579.1,1580.3,6,1,1580,1.2000000000000455
2026-06-29T13:27:54Z,PLV26,1594.4,1595.2,4,1,1594.5,0.7999999999999545
2026-06-29T13:28:00Z,PLN26,1579.7,1580.7,3,2,1580,1.0
2026-06-29T13:28:00Z,PLV26,1595,1595.6,1,2,1594.5,0.599999999999909
2026-06-29T13:28:05Z,PLN26,1580.3,1581.2,3,1,1580,0.900000000000091
2026-06-29T13:28:05Z,PLV26,1595.6,1596.1,1,1,1595.9,0.5
2026-06-29T13:28:10Z,PLN26,1580.3,1581.4,3,2,1580,1.1000000000001364
2026-06-29T13:28:10Z,PLV26,1595.6,1596.3,1,2,1595.9,0.7000000000000455
2026-06-29T13:28:15Z,PLN26,1580.4,1581.5,4,1,1580,1.099999999999909
2026-06-29T13:28:15Z,PLV26,1595.7,1596.4,2,1,1595.9,0.7000000000000455
2026-06-29T13:28:21Z,PLN26,1580.6,1581.8,3,2,1580,1.2000000000000455
2026-06-29T13:28:21Z,PLV26,1595.9,1596.7,1,2,1595.9,0.7999999999999545
2026-06-29T13:28:26Z,PLN26,1580.7,1581.7,3,2,1580,1.0
2026-06-29T13:28:26Z,PLV26,1596,1596.6,1,4,1595.9,0.599999999999909
2026-06-29T13:28:31Z,PLN26,1580,1581,3,2,1580,1.0
