day,contract,arm,arm_hash,delay,direction,entry_event_timestamp,entry_signal_timestamp,entry_fill_timestamp,exit_event_timestamp,exit_fill_timestamp,exit_fill_time_basis,entry_signal_price,exit_signal_price,entry_fill,exit_fill,quantity,gross,costs,net,exit_reason,entry_slope,entry_r2,entry_efficiency,entry_displacement,eligible,exclusion
2021-03-09,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-03-09T10:02:00-05:00,2021-03-09T10:00:00-05:00,2021-03-09T10:01:00-05:00,2021-03-09T16:00:00-05:00,2021-03-09T16:00:00-05:00,session_close_proxy,12704.5,12786.75,12704.25,12786.75,1,165.0,2.24,162.76,EOD_CLOSE_PROXY,3.031924360400445,0.6365146815168531,0.32452518579686207,98.25,True,
2021-03-11,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-03-11T11:32:00-05:00,2021-03-11T11:30:00-05:00,2021-03-11T11:31:00-05:00,2021-03-11T16:00:00-05:00,2021-03-11T16:00:00-05:00,session_close_proxy,13052.25,13046.25,13052.5,13046.25,1,-12.5,2.24,-14.74,EOD_CLOSE_PROXY,0.8657953281423805,0.7397485223158962,0.19213973799126638,22.0,True,
2021-03-16,MNQH21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-03-16T10:02:00-04:00,2021-03-16T10:00:00-04:00,2021-03-16T10:01:00-04:00,2021-03-16T16:00:00-04:00,2021-03-16T16:00:00-04:00,session_close_proxy,13233.75,13149.25,13232.75,13149.25,1,-167.0,2.24,-169.24,EOD_CLOSE_PROXY,2.1664627363737488,0.8232859154479761,0.44837758112094395,76.0,True,
2021-03-22,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-03-22T10:02:00-04:00,2021-03-22T10:00:00-04:00,2021-03-22T10:01:00-04:00,2021-03-22T16:00:00-04:00,2021-03-22T16:00:00-04:00,session_close_proxy,13008.25,13070.75,13023.75,13070.75,1,94.0,2.24,91.76,EOD_CLOSE_PROXY,1.6791434927697442,0.5685166839050203,0.2898172323759791,55.5,True,
2021-03-26,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-03-26T13:32:00-04:00,2021-03-26T13:30:00-04:00,2021-03-26T13:31:00-04:00,2021-03-26T16:00:00-04:00,2021-03-26T16:00:00-04:00,session_close_proxy,12860.75,12962.75,12866.25,12962.75,1,193.0,2.24,190.76,EOD_CLOSE_PROXY,0.9577864293659621,0.805542839845536,0.203125,19.5,True,
2021-03-29,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,-1,2021-03-29T10:02:00-04:00,2021-03-29T10:00:00-04:00,2021-03-29T10:01:00-04:00,2021-03-29T16:00:00-04:00,2021-03-29T16:00:00-04:00,session_close_proxy,12854.25,12956.0,12842.75,12956.0,1,-226.5,2.24,-228.74,EOD_CLOSE_PROXY,-3.0483870967741935,0.6043334984960341,0.35255813953488374,-94.75,True,
2021-03-31,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-03-31T10:02:00-04:00,2021-03-31T10:00:00-04:00,2021-03-31T10:01:00-04:00,2021-03-31T16:00:00-04:00,2021-03-31T16:00:00-04:00,session_close_proxy,13052.0,13084.75,13069.5,13084.75,1,30.5,2.24,28.259999999999998,EOD_CLOSE_PROXY,3.0808676307007787,0.9456014455668564,0.5466284074605452,95.25,True,
2021-04-06,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-04-06T12:02:00-04:00,2021-04-06T12:00:00-04:00,2021-04-06T12:01:00-04:00,2021-04-06T16:00:00-04:00,2021-04-06T16:00:00-04:00,session_close_proxy,13651.25,13572.0,13649.0,13572.0,1,-154.0,2.24,-156.24,EOD_CLOSE_PROXY,0.699888765294772,0.7545276646831708,0.3289902280130293,25.25,True,
2021-04-13,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,1,2021-04-13T10:02:00-04:00,2021-04-13T10:00:00-04:00,2021-04-13T10:01:00-04:00,2021-04-13T16:00:00-04:00,2021-04-13T16:00:00-04:00,session_close_proxy,13941.75,13975.25,13938.0,13975.25,1,74.5,2.24,72.26,EOD_CLOSE_PROXY,2.021690767519466,0.7437250052220654,0.46083788706739526,63.25,True,
2021-04-14,MNQM21,A,605aa9c1bee52a102446f0283839daf998adc79f20a0c2713c49ab878646f544,2,-1,2021-04-14T11:02:00-04:00,2021-04-14T11:00:00-04:00,2021-04-14T11:01:00-04:00,2021-04-14T16:00:00-04:00,2021-04-14T16:00:00-04:00,session_close_proxy,13916.25,13808.5,13925.25,13808.5,1,233.5,2.24,231.26,EOD_CLOSE_PROXY,-0.4731924360400445,0.1997546224548252,0.140625,-18.0,True,
