trade_id,day,contract,direction,entry_event_timestamp,entry_fill_timestamp,exit_event_timestamp,exit_fill_timestamp,exit_fill_time_basis,entry_fill,exit_fill,quantity,gross,costs,net,exit_reason
A-delay2-0048,2021-05-10,MNQM21,-1,2021-05-10T10:02:00-04:00,2021-05-10T10:01:00-04:00,2021-05-10T16:00:00-04:00,2021-05-10T16:00:00-04:00,session_close_proxy,13526.75,13356.25,1,341.0,2.24,338.76,EOD_CLOSE_PROXY
A-delay2-0049,2021-05-12,MNQM21,-1,2021-05-12T11:02:00-04:00,2021-05-12T11:01:00-04:00,2021-05-12T16:00:00-04:00,2021-05-12T16:00:00-04:00,session_close_proxy,13058.25,12998.25,1,120.0,2.24,117.76,EOD_CLOSE_PROXY
A-delay2-0050,2021-05-13,MNQM21,1,2021-05-13T11:02:00-04:00,2021-05-13T11:01:00-04:00,2021-05-13T16:00:00-04:00,2021-05-13T16:00:00-04:00,session_close_proxy,13184.5,13098.75,1,-171.5,2.24,-173.74,EOD_CLOSE_PROXY
A-delay2-0051,2021-05-14,MNQM21,1,2021-05-14T11:02:00-04:00,2021-05-14T11:01:00-04:00,2021-05-14T16:00:00-04:00,2021-05-14T16:00:00-04:00,session_close_proxy,13322.5,13384.5,1,124.0,2.24,121.76,EOD_CLOSE_PROXY
A-delay2-0052,2021-05-17,MNQM21,-1,2021-05-17T14:02:00-04:00,2021-05-17T14:01:00-04:00,2021-05-17T16:00:00-04:00,2021-05-17T16:00:00-04:00,session_close_proxy,13202.5,13305.75,1,-206.5,2.24,-208.74,EOD_CLOSE_PROXY
A-delay2-0053,2021-05-20,MNQM21,1,2021-05-20T10:02:00-04:00,2021-05-20T10:01:00-04:00,2021-05-20T16:00:00-04:00,2021-05-20T16:00:00-04:00,session_close_proxy,13386.75,13487.0,1,200.5,2.24,198.26,EOD_CLOSE_PROXY
A-delay2-0054,2021-05-24,MNQM21,1,2021-05-24T10:02:00-04:00,2021-05-24T10:01:00-04:00,2021-05-24T16:00:00-04:00,2021-05-24T16:00:00-04:00,session_close_proxy,13589.75,13637.75,1,96.0,2.24,93.76,EOD_CLOSE_PROXY
A-delay2-0055,2021-06-03,MNQM21,-1,2021-06-03T10:02:00-04:00,2021-06-03T10:01:00-04:00,2021-06-03T16:00:00-04:00,2021-06-03T16:00:00-04:00,session_close_proxy,13506.25,13528.0,1,-43.5,2.24,-45.74,EOD_CLOSE_PROXY
A-delay2-0056,2021-06-04,MNQM21,1,2021-06-04T10:02:00-04:00,2021-06-04T10:01:00-04:00,2021-06-04T16:00:00-04:00,2021-06-04T16:00:00-04:00,session_close_proxy,13705.75,13767.0,1,122.5,2.24,120.26,EOD_CLOSE_PROXY
A-delay2-0057,2021-06-10,MNQM21,1,2021-06-10T10:02:00-04:00,2021-06-10T10:01:00-04:00,2021-06-10T16:00:00-04:00,2021-06-10T16:00:00-04:00,session_close_proxy,13951.5,13959.75,1,16.5,2.24,14.26,EOD_CLOSE_PROXY
A-delay2-0058,2021-06-15,MNQM21,-1,2021-06-15T10:32:00-04:00,2021-06-15T10:31:00-04:00,2021-06-15T16:00:00-04:00,2021-06-15T16:00:00-04:00,session_close_proxy,14074.75,14035.75,1,78.0,2.24,75.76,EOD_CLOSE_PROXY
A-delay2-0059,2021-06-16,MNQM21,-1,2021-06-16T14:32:00-04:00,2021-06-16T14:31:00-04:00,2021-06-16T16:00:00-04:00,2021-06-16T16:00:00-04:00,session_close_proxy,13931.5,13983.75,1,-104.5,2.24,-106.74,EOD_CLOSE_PROXY
A-delay2-0060,2021-06-17,MNQM21,1,2021-06-17T10:02:00-04:00,2021-06-17T10:01:00-04:00,2021-06-17T16:00:00-04:00,2021-06-17T16:00:00-04:00,session_close_proxy,14030.75,14165.0,1,268.5,2.24,266.26,EOD_CLOSE_PROXY
A-delay2-0061,2021-06-21,MNQU21,1,2021-06-21T11:02:00-04:00,2021-06-21T11:01:00-04:00,2021-06-21T16:00:00-04:00,2021-06-21T16:00:00-04:00,session_close_proxy,14104.25,14128.0,1,47.5,2.24,45.26,EOD_CLOSE_PROXY
A-delay2-0062,2021-06-22,MNQU21,1,2021-06-22T11:32:00-04:00,2021-06-22T11:31:00-04:00,2021-06-22T16:00:00-04:00,2021-06-22T16:00:00-04:00,session_close_proxy,14207.0,14257.75,1,101.5,2.24,99.26,EOD_CLOSE_PROXY
A-delay2-0063,2021-06-23,MNQU21,1,2021-06-23T10:02:00-04:00,2021-06-23T10:01:00-04:00,2021-06-23T16:00:00-04:00,2021-06-23T16:00:00-04:00,session_close_proxy,14310.75,14263.25,1,-95.0,2.24,-97.24,EOD_CLOSE_PROXY
A-delay2-0064,2021-06-24,MNQU21,1,2021-06-24T10:32:00-04:00,2021-06-24T10:31:00-04:00,2021-06-24T16:00:00-04:00,2021-06-24T16:00:00-04:00,session_close_proxy,14399.25,14354.25,1,-90.0,2.24,-92.24,EOD_CLOSE_PROXY
A-delay2-0065,2021-06-28,MNQU21,1,2021-06-28T10:02:00-04:00,2021-06-28T10:01:00-04:00,2021-06-28T16:00:00-04:00,2021-06-28T16:00:00-04:00,session_close_proxy,14457.5,14511.25,1,107.5,2.24,105.26,EOD_CLOSE_PROXY
A-delay2-0066,2021-07-02,MNQU21,1,2021-07-02T13:02:00-04:00,2021-07-02T13:01:00-04:00,2021-07-02T16:00:00-04:00,2021-07-02T16:00:00-04:00,session_close_proxy,14691.0,14714.5,1,47.0,2.24,44.76,EOD_CLOSE_PROXY
A-delay2-0067,2021-07-09,MNQU21,1,2021-07-09T11:02:00-04:00,2021-07-09T11:01:00-04:00,2021-07-09T16:00:00-04:00,2021-07-09T16:00:00-04:00,session_close_proxy,14776.25,14810.25,1,68.0,2.24,65.76,EOD_CLOSE_PROXY
A-delay2-0068,2021-07-13,MNQU21,1,2021-07-13T10:02:00-04:00,2021-07-13T10:01:00-04:00,2021-07-13T16:00:00-04:00,2021-07-13T16:00:00-04:00,session_close_proxy,14931.25,14866.5,1,-129.5,2.24,-131.74,EOD_CLOSE_PROXY
A-delay2-0069,2021-07-15,MNQU21,-1,2021-07-15T10:32:00-04:00,2021-07-15T10:31:00-04:00,2021-07-15T16:00:00-04:00,2021-07-15T16:00:00-04:00,session_close_proxy,14811.75,14790.25,1,43.0,2.24,40.76,EOD_CLOSE_PROXY
A-delay2-0070,2021-07-16,MNQU21,-1,2021-07-16T10:32:00-04:00,2021-07-16T10:31:00-04:00,2021-07-16T16:00:00-04:00,2021-07-16T16:00:00-04:00,session_close_proxy,14764.25,14673.0,1,182.5,2.24,180.26,EOD_CLOSE_PROXY
A-delay2-0071,2021-07-19,MNQU21,-1,2021-07-19T10:02:00-04:00,2021-07-19T10:01:00-04:00,2021-07-19T16:00:00-04:00,2021-07-19T16:00:00-04:00,session_close_proxy,14480.25,14552.75,1,-145.0,2.24,-147.24,EOD_CLOSE_PROXY
A-delay2-0072,2021-07-20,MNQU21,1,2021-07-20T11:02:00-04:00,2021-07-20T11:01:00-04:00,2021-07-20T16:00:00-04:00,2021-07-20T16:00:00-04:00,session_close_proxy,14651.0,14718.25,1,134.5,2.24,132.26,EOD_CLOSE_PROXY
A-delay2-0073,2021-07-21,MNQU21,1,2021-07-21T10:02:00-04:00,2021-07-21T10:01:00-04:00,2021-07-21T16:00:00-04:00,2021-07-21T16:00:00-04:00,session_close_proxy,14744.0,14828.25,1,168.5,2.24,166.26,EOD_CLOSE_PROXY
A-delay2-0074,2021-07-22,MNQU21,1,2021-07-22T10:02:00-04:00,2021-07-22T10:01:00-04:00,2021-07-22T16:00:00-04:00,2021-07-22T16:00:00-04:00,session_close_proxy,14890.25,14928.75,1,77.0,2.24,74.76,EOD_CLOSE_PROXY
A-delay2-0075,2021-07-23,MNQU21,1,2021-07-23T11:32:00-04:00,2021-07-23T11:31:00-04:00,2021-07-23T16:00:00-04:00,2021-07-23T16:00:00-04:00,session_close_proxy,15064.0,15098.5,1,69.0,2.24,66.76,EOD_CLOSE_PROXY
A-delay2-0076,2021-07-27,MNQU21,-1,2021-07-27T10:02:00-04:00,2021-07-27T10:01:00-04:00,2021-07-27T16:00:00-04:00,2021-07-27T16:00:00-04:00,session_close_proxy,15050.5,14950.25,1,200.5,2.24,198.26,EOD_CLOSE_PROXY
A-delay2-0077,2021-07-28,MNQU21,1,2021-07-28T10:32:00-04:00,2021-07-28T10:31:00-04:00,2021-07-28T16:00:00-04:00,2021-07-28T16:00:00-04:00,session_close_proxy,15064.0,15006.5,1,-115.0,2.24,-117.24,EOD_CLOSE_PROXY
