entry_time,exit_time,entry_price,stop_loss,target_price,exit_price,direction,pnl,exit_reason,killzone_window,bars_held,rr_target
2025-06-19T00:08:00+00:00,2025-06-19T00:10:00+00:00,104897.0,104877.0,104991.0,104833.0,bullish,-22.0,stop_loss,Asia,2,4.7
2025-06-19T08:55:00+00:00,2025-06-19T08:57:00+00:00,104877.0,104825.0,104987.0,104790.0,bullish,-54.0,stop_loss,London AM,2,2.12
2025-06-20T00:39:00+00:00,2025-06-20T00:43:00+00:00,104664.0,104632.0,104736.0,104747.0,bullish,70.0,target,Asia,4,2.25
2025-06-20T08:42:00+00:00,2025-06-20T08:43:00+00:00,106348.0,106290.0,106565.0,106043.0,bullish,-60.0,stop_loss,London AM,1,3.74
2025-06-21T00:45:00+00:00,2025-06-21T00:46:00+00:00,103286.5,103277.5,103369.0,103289.0,bullish,-11.0,stop_loss,Asia,1,9.17
2025-06-21T08:12:00+00:00,2025-06-21T08:14:00+00:00,103522.5,103517.5,103621.0,103522.0,bullish,-7.0,stop_loss,London AM,2,19.7
2025-06-21T14:31:00+00:00,2025-06-21T14:32:00+00:00,103468.5,103421.5,103578.0,103642.0,bullish,107.5,target,NY AM,1,2.33
2025-06-22T00:29:00+00:00,2025-06-22T00:32:00+00:00,102527.0,102389.0,102845.0,102882.0,bullish,316.0,target,Asia,3,2.3
2025-06-22T08:11:00+00:00,2025-06-22T08:21:00+00:00,102426.0,102360.0,102614.0,102615.0,bullish,186.0,target,London AM,10,2.85
2025-06-22T14:05:00+00:00,2025-06-22T14:06:00+00:00,100878.5,100831.5,101227.0,100935.0,bullish,-49.0,stop_loss,NY AM,1,7.41
2025-06-23T14:04:00+00:00,2025-06-23T14:11:00+00:00,102382.0,102282.0,102695.0,102178.0,bullish,-102.0,stop_loss,NY AM,7,3.13
2025-06-24T00:03:00+00:00,2025-06-24T00:13:00+00:00,105425.5,105334.5,105613.0,105344.0,bullish,-93.0,stop_loss,Asia,10,2.06
