entry_time,direction,entry,stop,target,pnl,exit_reason,quality_score,killzone_window,fvg_size,date
2025-10-10 14:55:00,bullish,25270.875,25251.25,25310.125,-392.5,stop,97.31846209575802,NY PM,3555.0,2025-10-10
2025-10-10 14:30:00,bullish,25336.75,25303.0,25404.25,-675.0,stop,88.17597330097094,NY PM,270.0,2025-10-10
2025-10-10 09:00:00,bullish,25315.375,25298.25,25349.625,-342.5,stop,86.39368752415304,,1015.0,2025-10-10
2025-10-10 12:40:00,bullish,25312.625,25303.25,25331.375,-187.5,stop,85.99913148479435,,725.0,2025-10-10
2025-10-10 09:05:00,bullish,25327.375,25298.25,25385.625,-582.5,stop,84.39368752415304,,525.0,2025-10-10
2025-10-10 14:40:00,bullish,25331.875,25303.0,25389.625,-577.5,stop,84.17597330097094,NY PM,655.0,2025-10-10
2025-10-10 12:45:00,bullish,25310.75,25303.25,25325.75,-150.0,stop,83.99913148479435,,740.0,2025-10-10
2025-10-10 14:25:00,bearish,25329.75,25342.5,25304.25,-255.0,stop,83.15178722474653,NY PM,1120.0,2025-10-10
2025-10-10 14:45:00,bullish,25337.375,25303.0,25406.125,-687.5,stop,82.17597330097094,NY PM,335.0,2025-10-10
2025-10-10 09:50:00,bullish,25278.625,25270.25,25295.375,-167.5,stop,81.96178286554346,,665.0,2025-10-10
2025-10-10 09:15:00,bullish,25317.625,25298.25,25356.375,-387.5,stop,80.39368752415304,,345.0,2025-10-10
2025-10-10 09:55:00,bullish,25273.125,25270.25,25278.875,-57.5,stop,79.96178286554346,,875.0,2025-10-10
2025-10-10 15:15:00,bearish,25039.125,25314.5,24488.375,11015.0,target,79.8596785137317,,1845.0,2025-10-10
2025-10-10 14:15:00,bullish,25328.75,25303.25,25379.75,-510.0,stop,79.49913148479435,NY PM,1080.0,2025-10-10
2025-10-10 14:35:00,bearish,25339.125,25342.5,25332.375,135.0,target,79.15178722474653,NY PM,265.0,2025-10-10
2025-10-10 14:20:00,bullish,25334.625,25303.25,25397.375,-627.5,stop,76.65048681412098,NY PM,815.0,2025-10-10
2025-10-10 10:25:00,bullish,25287.25,25270.25,25321.25,680.0,target,75.46178286554346,NY AM,240.0,2025-10-10
2025-10-10 09:30:00,bullish,25304.375,25298.25,25316.625,-122.5,stop,74.39368752415304,,555.0,2025-10-10
2025-10-10 09:35:00,bullish,25303.5,25298.25,25314.0,-105.0,stop,72.39368752415304,,510.0,2025-10-10
2025-10-13 14:00:00,bearish,24851.0,24877.25,24798.5,-525.0,stop,94.25118139050397,NY PM,2200.0,2025-10-13
2025-10-13 14:05:00,bearish,24846.375,24877.25,24784.625,-617.5,stop,92.25118139050397,NY PM,2625.0,2025-10-13
2025-10-13 11:00:00,bearish,24847.375,24864.5,24813.125,685.0,target,85.92379611650479,,775.0,2025-10-13
2025-10-13 14:35:00,bearish,24837.625,24877.25,24758.375,-792.5,stop,80.25118139050397,NY PM,1735.0,2025-10-13
2025-10-13 14:40:00,bearish,24841.75,24877.25,24770.75,1420.0,target,80.25118139050397,NY PM,1870.0,2025-10-13
2025-10-13 11:20:00,bearish,24768.25,24864.5,24575.75,-1925.0,stop,77.92379611650479,,1380.0,2025-10-13
2025-10-13 11:35:00,bearish,24776.125,24864.5,24599.375,-1767.5,stop,71.92379611650479,,625.0,2025-10-13
2025-10-13 15:05:00,bearish,24767.125,24817.25,24666.875,-1002.5,stop,69.13984404124272,,945.0,2025-10-13
2025-10-14 14:20:00,bearish,24631.5,24665.5,24563.5,-680.0,stop,94.84522253407395,NY PM,2080.0,2025-10-14
2025-10-14 14:25:00,bearish,24662.25,24665.5,24655.75,-65.0,stop,92.84522253407395,NY PM,2400.0,2025-10-14
2025-10-14 14:35:00,bullish,24706.625,24637.75,24844.375,2755.0,target,78.81066959064322,NY PM,625.0,2025-10-14
2025-10-14 14:55:00,bullish,24708.125,24637.75,24848.875,2815.0,target,78.81066959064322,NY PM,1455.0,2025-10-14
2025-10-14 14:50:00,bullish,24703.125,24637.75,24833.875,2615.0,target,78.50558426289538,NY PM,1305.0,2025-10-14
2025-10-14 15:00:00,bearish,24704.625,24713.0,24687.875,-167.5,stop,73.58648675697546,,1365.0,2025-10-14
2025-10-14 15:05:00,bearish,24720.25,24725.75,24709.25,-110.0,stop,73.45418866999482,,1940.0,2025-10-14
2025-10-15 15:35:00,bullish,25025.5,24983.25,25110.0,-845.0,stop,85.00575229330624,,2330.0,2025-10-15
2025-10-15 15:40:00,bullish,25007.0,24983.25,25054.5,-475.0,stop,83.00575229330624,,2710.0,2025-10-15
2025-10-15 18:10:00,bearish,24883.375,24977.75,24694.625,-1887.5,stop,69.56342681628132,,1015.0,2025-10-15
2025-10-16 14:15:00,bullish,25057.0,25042.25,25086.5,590.0,target,88.30019838401034,NY PM,1250.0,2025-10-16
2025-10-16 12:10:00,bullish,25052.875,25042.25,25074.125,-212.5,stop,86.80019838401034,,775.0,2025-10-16
2025-10-16 12:15:00,bullish,25052.5,25042.25,25073.0,-205.0,stop,84.80019838401034,,860.0,2025-10-16
2025-10-16 14:30:00,bullish,25088.75,25042.25,25181.75,-930.0,stop,82.30019838401034,NY PM,1000.0,2025-10-16
2025-10-16 14:50:00,bullish,25141.0,25042.25,25338.5,-1975.0,stop,80.30019838401034,NY PM,1430.0,2025-10-16
2025-10-16 14:00:00,bullish,25066.0,25042.25,25113.5,-475.0,stop,78.02203763041015,NY PM,1150.0,2025-10-16
2025-10-16 14:05:00,bullish,25067.125,25042.25,25116.875,-497.5,stop,76.02203763041015,NY PM,1285.0,2025-10-16
2025-10-20 20:00:00,bullish,25314.125,25297.75,25346.875,-327.5,stop,85.72494542301882,,995.0,2025-10-20
2025-10-20 20:05:00,bullish,25317.625,25297.75,25357.375,-397.5,stop,83.72494542301882,,645.0,2025-10-20
2025-10-20 20:10:00,bullish,25311.5,25297.75,25339.0,-275.0,stop,81.72494542301882,,380.0,2025-10-20
2025-10-20 20:20:00,bullish,25318.875,25297.75,25361.125,-422.5,stop,74.59994542301882,,175.0,2025-10-20
2025-10-21 14:00:00,bullish,25260.25,25252.75,25275.25,-150.0,stop,95.08780271668829,NY PM,1930.0,2025-10-21
2025-10-21 14:05:00,bullish,25261.125,25252.75,25277.875,-167.5,stop,93.08780271668829,NY PM,1615.0,2025-10-21
2025-10-21 14:20:00,bearish,25252.25,25284.5,25187.75,-645.0,stop,92.80193379348164,NY PM,1350.0,2025-10-21
2025-10-21 14:35:00,bearish,25234.25,25284.5,25133.75,-1005.0,stop,86.80193379348164,NY PM,1120.0,2025-10-21
2025-10-21 20:00:00,bullish,25282.0,25242.0,25362.0,-800.0,stop,86.23347359223456,,2010.0,2025-10-21
2025-10-21 14:40:00,bearish,25234.875,25284.5,25135.625,-992.5,stop,84.80193379348164,NY PM,1275.0,2025-10-21
2025-10-21 20:05:00,bullish,25282.0,25242.0,25362.0,-800.0,stop,84.23347359223456,,2080.0,2025-10-21
2025-10-21 20:10:00,bearish,25237.75,25303.0,25107.25,-1305.0,stop,83.79450019093166,,240.0,2025-10-21
2025-10-21 14:50:00,bearish,25258.875,25284.5,25207.625,-512.5,stop,80.80193379348164,NY PM,715.0,2025-10-21
2025-10-21 20:15:00,bullish,25245.25,25242.0,25251.75,130.0,target,80.23347359223456,,230.0,2025-10-21
2025-10-21 20:20:00,bearish,25242.75,25303.0,25122.25,-1205.0,stop,79.79450019093166,,560.0,2025-10-21
2025-10-21 14:55:00,bearish,25266.125,25284.5,25229.375,-367.5,stop,78.80193379348164,NY PM,1415.0,2025-10-21
2025-10-21 20:25:00,bullish,25255.0,25242.0,25281.0,520.0,target,76.23347359223456,,260.0,2025-10-21
2025-10-21 20:30:00,bearish,25256.0,25303.0,25162.0,-940.0,stop,75.79450019093166,,360.0,2025-10-21
2025-10-21 15:05:00,bullish,25283.875,25258.75,25334.125,-502.5,stop,74.06504591265391,,705.0,2025-10-21
2025-10-21 20:35:00,bearish,25258.0,25303.0,25168.0,-900.0,stop,73.79450019093166,,380.0,2025-10-21
2025-10-21 15:10:00,bullish,25291.875,25258.75,25358.125,-662.5,stop,70.02120266964577,,445.0,2025-10-21
2025-10-22 14:00:00,bullish,25252.75,25246.0,25266.25,-135.0,stop,92.45121556461613,NY PM,590.0,2025-10-22
2025-10-22 14:05:00,bullish,25255.75,25246.0,25275.25,-195.0,stop,90.45121556461613,NY PM,480.0,2025-10-22
2025-10-22 14:10:00,bearish,25253.75,25268.5,25224.25,590.0,target,89.42406841490526,NY PM,630.0,2025-10-22
2025-10-22 14:20:00,bearish,25231.125,25268.5,25156.375,1495.0,target,85.42406841490526,NY PM,555.0,2025-10-22
2025-10-22 11:00:00,bullish,25284.125,25270.75,25310.875,-267.5,stop,84.47324933288954,,745.0,2025-10-22
2025-10-22 11:05:00,bullish,25271.125,25270.75,25271.875,-7.5,stop,82.47324933288954,,1075.0,2025-10-22
2025-10-22 11:20:00,bearish,25243.0,25275.5,25178.0,-650.0,stop,76.69396371716591,,650.0,2025-10-22
2025-10-22 11:25:00,bearish,25245.0,25275.5,25184.0,-610.0,stop,74.69396371716591,,640.0,2025-10-22
2025-10-23 14:00:00,bearish,25075.625,25102.5,25021.875,-537.5,stop,92.3304142455484,NY PM,4025.0,2025-10-23
2025-10-23 14:05:00,bearish,25079.5,25102.5,25033.5,-460.0,stop,90.3304142455484,NY PM,3600.0,2025-10-23
2025-10-23 09:10:00,bullish,25068.75,25068.0,25070.25,-15.0,stop,86.63502903271146,,940.0,2025-10-23
2025-10-23 19:55:00,bullish,25255.625,25245.5,25275.875,405.0,target,86.46345649453508,,525.0,2025-10-23
2025-10-23 09:15:00,bullish,25070.875,25068.0,25076.625,-57.5,stop,84.63502903271146,,795.0,2025-10-23
2025-10-23 09:30:00,bearish,25040.625,25077.0,24967.875,1455.0,target,79.32838494508431,,465.0,2025-10-23
2025-10-23 09:35:00,bearish,25042.125,25077.0,24972.375,1395.0,target,77.32838494508431,,495.0,2025-10-23
2025-10-23 20:20:00,bullish,25268.75,25245.5,25315.25,930.0,target,75.21345649453508,,190.0,2025-10-23
2025-10-23 20:10:00,bullish,25265.125,25245.5,25304.375,785.0,target,64.83845649453508,,75.0,2025-10-23
2025-10-24 19:55:00,bullish,25530.5,25528.5,25534.5,-40.0,stop,86.79104081664678,,820.0,2025-10-24
2025-10-24 12:40:00,bullish,25487.875,25368.0,25727.625,4795.0,target,82.44360645202329,,1385.0,2025-10-24
2025-10-24 12:45:00,bullish,25483.375,25368.0,25714.125,4615.0,target,80.44360645202329,,955.0,2025-10-24
2025-10-24 20:05:00,bearish,25516.5,25536.0,25477.5,-390.0,stop,76.99034856263731,,260.0,2025-10-24
2025-10-24 12:55:00,bullish,25467.25,25368.0,25665.75,3970.0,target,76.44360645202329,,820.0,2025-10-24
2025-10-24 20:30:00,bearish,25513.0,25536.0,25467.0,-460.0,stop,71.3202831627712,,300.0,2025-10-24
2025-10-24 20:25:00,bearish,25513.75,25536.0,25469.25,-445.0,stop,68.99034856263731,,380.0,2025-10-24
2025-10-27 14:20:00,bullish,25848.0,25829.0,25886.0,760.0,target,93.48043809073718,NY PM,1040.0,2025-10-27
2025-10-27 14:25:00,bullish,25848.375,25829.0,25887.125,775.0,target,91.48043809073718,NY PM,755.0,2025-10-27
2025-10-27 14:50:00,bullish,25874.0,25829.0,25964.0,1800.0,target,81.48043809073718,NY PM,600.0,2025-10-27
2025-10-27 14:55:00,bullish,25873.375,25829.0,25962.125,1775.0,target,79.48043809073718,NY PM,735.0,2025-10-27
2025-10-29 14:50:00,bullish,26273.5,26246.75,26327.0,-535.0,stop,93.35232108527487,NY PM,1200.0,2025-10-29
2025-10-29 14:10:00,bullish,26294.125,26270.75,26340.875,-467.5,stop,91.53594764763947,NY PM,1295.0,2025-10-29
2025-10-29 14:55:00,bullish,26272.125,26246.75,26322.875,-507.5,stop,91.35232108527487,NY PM,695.0,2025-10-29
