entry_time,exit_time,direction,entry_price,exit_price,pnl,bars_held,split
2025-07-06 18:30:00+00:00,2025-07-07 05:15:00+00:00,long,108601.0,109138.73217999065,42.88623139006541,42,train
2025-07-07 05:15:00+00:00,2025-07-07 06:45:00+00:00,long,109183.0,108813.81600059927,-47.81824074010311,5,train
2025-07-07 06:45:00+00:00,2025-07-07 11:45:00+00:00,long,108832.0,108692.76441293051,-24.799796927595352,19,train
2025-07-09 11:45:00+00:00,2025-07-09 14:15:00+00:00,long,109095.0,109238.65866663707,3.4491837303752746,9,train
2025-07-09 14:15:00+00:00,2025-07-10 10:00:00+00:00,long,109323.0,111098.0738252038,166.4863288291197,78,train
2025-07-10 10:00:00+00:00,2025-07-10 13:30:00+00:00,long,111121.0,110879.83082800024,-35.216958741376175,13,train
2025-07-10 16:30:00+00:00,2025-07-11 11:15:00+00:00,long,112500.0,117800.33678302822,518.5186614636709,74,train
2025-07-11 11:15:00+00:00,2025-07-11 13:30:00+00:00,long,117804.0,117482.88154256166,-43.87618982096178,8,train
2025-07-11 13:30:00+00:00,2025-07-11 15:45:00+00:00,long,117692.0,117064.21529805973,-74.51628095892988,8,train
2025-07-11 15:45:00+00:00,2025-07-12 11:30:00+00:00,long,117510.0,117854.92173238797,22.723927152177716,78,train
2025-07-12 11:30:00+00:00,2025-07-12 12:30:00+00:00,long,118066.0,117639.56393772825,-54.42888442406145,3,train
2025-07-12 12:30:00+00:00,2025-07-12 15:30:00+00:00,long,117738.0,117267.19989383618,-58.83027061107387,11,train
2025-07-13 02:00:00+00:00,2025-07-13 22:00:00+00:00,long,117609.0,118682.78439674179,95.56385045434158,79,train
2025-07-13 22:00:00+00:00,2025-07-14 11:15:00+00:00,long,118722.0,121746.88695989507,290.4652516415122,52,train
2025-07-14 11:15:00+00:00,2025-07-14 14:30:00+00:00,long,121771.0,121289.8601335455,-60.26702965212705,12,train
2025-07-14 14:30:00+00:00,2025-07-14 15:15:00+00:00,long,121566.0,120500.60179959112,-118.64315013086713,2,train
2025-07-14 15:15:00+00:00,2025-07-14 16:00:00+00:00,long,120799.0,119465.5318973931,-145.36003685555977,2,train
2025-07-16 19:45:00+00:00,2025-07-16 22:45:00+00:00,long,119043.0,119089.29960157926,-7.276654822153001,11,train
2025-07-16 22:45:00+00:00,2025-07-17 01:30:00+00:00,long,119131.0,118506.54181134529,-74.32769595603821,10,train
