entry_time,exit_time,dir,reason,pnl_pts,proba
2025-03-07 00:45:00+00:00,2025-03-07 01:30:00+00:00,0,SL,-1754.3999999999942,
2025-03-07 15:45:00+00:00,2025-03-07 21:00:00+00:00,0,TP,2960.0,
2025-03-10 06:00:00+00:00,2025-03-10 09:15:00+00:00,0,SL,-850.6999999999971,
2025-03-10 09:30:00+00:00,2025-03-10 09:45:00+00:00,1,SL,-918.1999999999971,
2025-03-10 19:45:00+00:00,2025-03-11 00:30:00+00:00,1,SL,-1558.3999999999942,
2025-03-13 09:15:00+00:00,2025-03-13 12:45:00+00:00,1,SL,-567.3999999999942,
2025-03-13 18:30:00+00:00,2025-03-14 09:15:00+00:00,1,TP,2028.6000000000058,
2025-03-14 14:30:00+00:00,2025-03-14 14:45:00+00:00,0,SL,-659.3000000000029,
2025-03-17 07:15:00+00:00,2025-03-17 13:00:00+00:00,1,SL,-480.6999999999971,
2025-03-18 07:30:00+00:00,2025-03-18 10:15:00+00:00,1,SL,-527.6000000000058,
2025-03-18 20:45:00+00:00,2025-03-18 23:00:00+00:00,0,SL,-672.3999999999942,
2025-03-20 01:00:00+00:00,2025-03-20 16:00:00+00:00,0,TP,1525.3999999999942,
2025-03-21 13:00:00+00:00,2025-03-21 13:45:00+00:00,0,SL,-467.8999999999942,
2025-03-22 09:30:00+00:00,2025-03-22 13:15:00+00:00,1,SL,-181.1999999999971,
2025-03-23 00:30:00+00:00,2025-03-23 10:30:00+00:00,1,TP,430.1999999999971,
2025-03-23 18:00:00+00:00,2025-03-23 22:15:00+00:00,0,SL,-453.5,
2025-03-24 01:15:00+00:00,2025-03-24 03:15:00+00:00,0,SL,-490.3000000000029,
2025-03-25 21:00:00+00:00,2025-03-26 12:00:00+00:00,0,TIME_STOP,-122.0,
2025-03-26 20:00:00+00:00,2025-03-27 11:00:00+00:00,1,TIME_STOP,647.0,
2025-03-30 04:00:00+00:00,2025-03-30 09:30:00+00:00,0,SL,-372.6999999999971,
2025-03-30 10:45:00+00:00,2025-03-30 16:30:00+00:00,0,TP,592.6000000000058,
2025-03-30 23:00:00+00:00,2025-03-30 23:15:00+00:00,1,SL,-484.0,
2025-03-31 10:45:00+00:00,2025-03-31 12:45:00+00:00,1,TP,981.8000000000029,
2025-04-01 06:15:00+00:00,2025-04-01 06:30:00+00:00,0,SL,-344.3999999999942,
2025-04-01 15:00:00+00:00,2025-04-02 06:00:00+00:00,1,TIME_STOP,-189.0,
2025-04-03 00:45:00+00:00,2025-04-03 14:45:00+00:00,1,SL,-1639.6000000000058,
2025-04-04 10:30:00+00:00,2025-04-04 15:15:00+00:00,0,SL,-664.8000000000029,
2025-04-05 01:30:00+00:00,2025-04-05 03:15:00+00:00,1,SL,-476.1999999999971,
2025-04-06 12:15:00+00:00,2025-04-06 13:15:00+00:00,1,SL,-292.6000000000058,
2025-04-07 00:00:00+00:00,2025-04-07 04:15:00+00:00,1,SL,-1304.800000000003,
2025-04-08 03:00:00+00:00,2025-04-08 15:00:00+00:00,0,TP,1721.0,
2025-04-09 02:15:00+00:00,2025-04-09 03:45:00+00:00,1,SL,-1046.5,
2025-04-10 14:45:00+00:00,2025-04-10 15:00:00+00:00,1,SL,-852.8000000000029,
