contract,date,p_prior,p1530,p1559,move_usd,r_rod,r_lh,dir,gross,net3,net2,yr
MNQU26,2026-07-07,29957.25,29321.0,29388.5,135.0,-0.02123859833596209,0.002302104293850915,-1,-135.0,-138.0,-137.0,2026
MNQU26,2026-07-08,29388.5,29425.5,29487.75,124.5,0.0012589958657298617,0.002115512055870017,1,124.5,121.5,122.5,2026
MNQU26,2026-07-09,29487.75,29931.5,29937.5,12.0,0.015048621885359159,0.00020045771177512606,1,12.0,9.0,10.0,2026
MNQU26,2026-07-10,29937.5,30047.0,30034.25,-25.5,0.0036576200417537397,-0.00042433520817386494,1,-25.5,-28.5,-27.5,2026
MNQU26,2026-07-13,30034.25,29420.25,29503.0,165.5,-0.02044332720144504,0.002812688539356456,-1,-165.5,-168.5,-167.5,2026
MNQU26,2026-07-14,29503.0,29797.75,29807.75,20.0,0.00999050943971791,0.0003355958084083621,1,20.0,17.0,18.0,2026
MNQU26,2026-07-15,29807.75,29643.75,29696.5,105.5,-0.00550192483498424,0.0017794644739617116,-1,-105.5,-108.5,-107.5,2026
MNQU26,2026-07-16,29696.5,29147.75,29201.0,106.5,-0.018478608590237866,0.001826899160312534,-1,-106.5,-109.5,-108.5,2026
MNQU26,2026-07-17,29201.0,28795.75,28816.0,40.5,-0.013877949385295074,0.0007032287750796673,-1,-40.5,-43.5,-42.5,2026
MNQU26,2026-07-20,28816.0,28855.75,28790.25,-131.0,0.0013794419766797184,-0.002269911542760128,1,-131.0,-134.0,-133.0,2026
MNQU26,2026-07-21,28790.25,29293.75,29335.5,83.5,0.01748855949496786,0.0014252186899936792,1,83.5,80.5,81.5,2026
MNQU26,2026-07-22,29335.5,29253.5,29192.75,-121.5,-0.002795248078266921,-0.002076674585946958,-1,121.5,118.5,119.5,2026
MNQU26,2026-07-23,29192.75,28583.75,28624.5,81.5,-0.020861343998081705,0.0014256351948223056,-1,-81.5,-84.5,-83.5,2026
MNQU26,2026-07-24,28624.5,28253.25,28267.75,29.0,-0.012969658858670075,0.0005132152938156498,-1,-29.0,-32.0,-31.0,2026
MNQU26,2026-07-27,28267.75,28244.0,28190.25,-107.5,-0.0008401800638536683,-0.001903059056790779,-1,107.5,104.5,105.5,2026
MNQU26,2026-07-28,28190.25,28018.75,27938.0,-161.5,-0.006083663678044693,-0.002881998661610541,-1,161.5,158.5,159.5,2026
MNQU26,2026-07-29,27938.0,27711.25,27340.5,-741.5,-0.008116185840074452,-0.013379042807524,-1,741.5,738.5,739.5,2026
MNQU26,2026-07-30,27340.5,28243.75,28239.75,-8.0,0.03303706954883778,-0.00014162425315333849,1,-8.0,-11.0,-10.0,2026
MNQU26,2026-07-31,28239.75,28475.0,28458.25,-33.5,0.008330456183216928,-0.0005882352941176672,1,-33.5,-36.5,-35.5,2026
MNQU26,2026-08-03,28458.25,28913.25,28895.75,-35.0,0.015988333787214648,-0.0006052588346173726,1,-35.0,-38.0,-37.0,2026
MNQU26,2026-08-04,28895.75,29900.5,29875.0,-51.0,0.03477154944931349,-0.0008528285480176034,1,-51.0,-54.0,-53.0,2026
MNQU26,2026-08-05,29875.0,29756.5,29667.5,-178.0,-0.003966527196652692,-0.002990943155277037,-1,178.0,175.0,176.0,2026
MNQU26,2026-08-06,29667.5,29508.5,29514.0,11.0,-0.005359400016853422,0.00018638697324502296,-1,-11.0,-14.0,-13.0,2026
MNQU26,2026-08-07,29514.0,29811.5,29854.0,85.0,0.010079962051907643,0.001425624339600473,1,85.0,82.0,83.0,2026
MNQU26,2026-08-10,29854.0,29781.75,29733.75,-96.0,-0.0024201112078783282,-0.0016117253015689448,-1,96.0,93.0,94.0,2026
MNQU26,2026-08-11,29733.75,29624.25,29635.75,23.0,-0.003682683818892696,0.00038819548174218177,-1,-23.0,-26.0,-25.0,2026
MNQU26,2026-08-12,29635.75,29867.5,29841.0,-53.0,0.007819947192158061,-0.0008872520297982245,1,-53.0,-56.0,-55.0,2026
MNQU26,2026-08-13,29841.0,30222.75,30184.25,-77.0,0.012792801849804025,-0.0012738748128479083,1,-77.0,-80.0,-79.0,2026
MNQU26,2026-08-14,30184.25,30096.25,30122.75,53.0,-0.002915427747914867,0.0008805083689829019,-1,-53.0,-56.0,-55.0,2026
MNQU26,2026-08-17,30122.75,30093.25,30096.75,7.0,-0.0009793262567329153,0.00011630515148741694,-1,-7.0,-10.0,-9.0,2026
MNQU26,2026-08-18,30096.75,29599.75,29588.5,-22.5,-0.01651341091646108,-0.000380070777624808,-1,22.5,19.5,20.5,2026
MNQU26,2026-08-19,29588.5,29556.0,29515.25,-81.5,-0.0010983997161059245,-0.0013787386655840228,-1,81.5,78.5,79.5,2026
MNQU26,2026-08-20,29515.25,29304.75,29305.25,1.0,-0.007131906387376041,1.706208037943746e-05,-1,-1.0,-4.0,-3.0,2026
MNQU26,2026-08-21,29305.25,29393.25,29407.75,29.0,0.0030028749114918707,0.0004933105389843817,1,29.0,26.0,27.0,2026
MNQU26,2026-08-24,29407.75,29158.25,29118.5,-79.5,-0.008484158087578964,-0.0013632505380124504,-1,79.5,76.5,77.5,2026
MNQU26,2026-08-25,29118.5,29225.5,29281.5,112.0,0.003674639833782578,0.0019161348822089863,1,112.0,109.0,110.0,2026
MNQU26,2026-08-26,29281.5,29338.25,29297.0,-82.5,0.0019380837730307299,-0.0014060143328249453,1,-82.5,-85.5,-84.5,2026
MNQU26,2026-08-27,29297.0,29602.5,29692.75,180.5,0.01042768884186085,0.0030487289924836514,1,180.5,177.5,178.5,2026
MNQZ21,2021-09-20,15331.75,14875.25,15003.0,255.5,-0.02977481370358892,0.008588090956454408,-1,-255.5,-258.5,-257.5,2021
MNQZ21,2021-09-21,15003.0,15084.0,15038.25,-91.5,0.005398920215956782,-0.003033015115354032,1,-91.5,-94.5,-93.5,2021
MNQZ21,2021-09-22,15038.25,15193.25,15155.0,-76.5,0.010307050354928293,-0.0025175653661988484,1,-76.5,-79.5,-78.5,2021
MNQZ21,2021-09-23,15155.0,15319.0,15299.75,-38.5,0.010821511052457877,-0.001256609439258427,1,-38.5,-41.5,-40.5,2021
MNQZ21,2021-09-24,15299.75,15307.0,15320.25,26.5,0.00047386395202542175,0.000865617037956401,1,26.5,23.5,24.5,2021
MNQZ21,2021-09-27,15320.25,15213.5,15191.75,-43.5,-0.006967901959824441,-0.0014296512965458197,-1,43.5,40.5,41.5,2021
MNQZ21,2021-09-28,15191.75,14802.75,14764.75,-76.0,-0.0256060032583475,-0.0025670905743865324,-1,76.0,73.0,74.0,2021
MNQZ21,2021-09-29,14764.75,14812.25,14727.75,-169.0,0.003217121861189609,-0.005704737632702628,1,-169.0,-172.0,-171.0,2021
MNQZ21,2021-09-30,14727.75,14775.25,14710.5,-129.5,0.0032252041214713145,-0.0043823285562003544,1,-129.5,-132.5,-131.5,2021
MNQZ21,2021-10-01,14710.5,14780.5,14766.5,-28.0,0.004758505829169701,-0.0009471939379588346,1,-28.0,-31.0,-30.0,2021
MNQZ21,2021-10-04,14766.5,14408.0,14461.75,107.5,-0.02427792638743098,0.003730566352026621,-1,-107.5,-110.5,-109.5,2021
MNQZ21,2021-10-05,14461.75,14706.0,14662.0,-88.0,0.016889380607464588,-0.0029919760641914372,1,-88.0,-91.0,-90.0,2021
MNQZ21,2021-10-06,14662.0,14718.25,14760.25,84.0,0.003836447960714695,0.002853600122297184,1,84.0,81.0,82.0,2021
