entry_time,exit_time,entry_price,exit_price,direction,pnl,exit_reason,ml_prediction,killzone_window,bars_held,stop_loss,target_price
2026-02-10 19:11:00+00:00,2026-02-10 19:12:00+00:00,25294.25,25291.5,bullish,-13.8,stop_loss,0.0,NY PM,1,25288.25,25307.5
2026-02-12 08:06:00+00:00,2026-02-12 08:13:00+00:00,25351.75,25346.0,bullish,-15.8,stop_loss,0.0,London AM,7,25344.75,25369.5
2026-02-12 15:41:00+00:00,2026-02-12 15:42:00+00:00,25146.25,25097.75,bullish,-73.8,stop_loss,0.0,NY AM,1,25110.25,25251.75
2026-02-13 08:16:00+00:00,2026-02-13 08:17:00+00:00,24727.125,24712.0,bullish,-15.3,stop_loss,0.0,London AM,1,24720.375,24764.75
2026-02-16 08:13:00+00:00,2026-02-16 08:20:00+00:00,24864.5,24883.0,bullish,38.7,target,0.0,London AM,7,24857.5,24884.75
2026-02-17 08:15:00+00:00,2026-02-17 08:16:00+00:00,24704.75,24696.25,bullish,-17.8,stop_loss,0.0,London AM,1,24696.75,24727.0
2026-02-18 08:41:00+00:00,2026-02-18 08:45:00+00:00,24900.25,24896.75,bullish,-9.8,stop_loss,0.0,London AM,4,24896.25,24915.5
2026-02-18 15:52:00+00:00,2026-02-18 15:56:00+00:00,25060.75,25097.5,bullish,58.7,target,0.0,NY AM,4,25050.75,25091.0
2026-02-19 08:29:00+00:00,2026-02-19 08:31:00+00:00,25032.0,25044.75,bullish,31.2,target,0.0,London AM,2,25027.0,25048.5
2026-02-19 15:19:00+00:00,2026-02-19 15:22:00+00:00,24881.25,24860.5,bullish,-30.8,stop_loss,0.0,NY AM,3,24866.75,24950.5
2026-02-19 19:15:00+00:00,2026-02-19 19:24:00+00:00,24814.0,24843.75,bullish,62.2,target,0.0,NY PM,9,24804.0,24846.0
2026-02-20 15:06:00+00:00,2026-02-20 15:07:00+00:00,24926.125,24869.0,bullish,-92.3,stop_loss,0.0,NY AM,1,24880.875,25082.25
2026-02-23 08:26:00+00:00,2026-02-23 08:43:00+00:00,24886.75,24878.5,bullish,-19.8,stop_loss,0.0,London AM,17,24877.75,24907.5
2026-02-25 08:09:00+00:00,2026-02-25 08:12:00+00:00,25059.375,25057.75,bullish,-15.3,stop_loss,0.0,London AM,3,25052.625,25077.75
2026-02-26 08:28:00+00:00,2026-02-26 08:33:00+00:00,25369.625,25358.0,bullish,-20.3,stop_loss,0.0,London AM,5,25360.375,25392.25
2026-02-26 19:59:00+00:00,2026-02-26 20:01:00+00:00,25069.75,25064.0,bullish,-22.8,stop_loss,0.0,NY PM,2,25059.25,25093.5
2026-02-27 08:22:00+00:00,2026-02-27 08:24:00+00:00,25060.5,25059.0,bullish,-8.8,stop_loss,0.0,London AM,2,25057.0,25072.75
2026-03-02 15:50:00+00:00,2026-03-02 15:51:00+00:00,25129.75,25165.0,bullish,58.7,target,0.0,NY AM,1,25119.25,25160.0
2026-03-04 15:04:00+00:00,2026-03-04 15:05:00+00:00,25139.375,25147.25,bullish,-57.3,stop_loss,0.0,NY AM,1,25111.625,25196.0
2026-03-06 15:10:00+00:00,2026-03-06 15:14:00+00:00,24898.875,25000.75,bullish,170.45,target,0.0,NY AM,4,24866.625,24985.0
2026-03-09 08:43:00+00:00,2026-03-09 08:46:00+00:00,24496.125,24482.0,bullish,-32.3,stop_loss,0.0,London AM,3,24480.875,24541.0
2026-03-09 15:35:00+00:00,2026-03-09 15:54:00+00:00,24810.25,24860.0,bullish,93.7,target,0.0,NY AM,19,24800.25,24858.0
2026-03-10 15:07:00+00:00,2026-03-10 15:09:00+00:00,25359.0,25352.5,bullish,-11.8,stop_loss,0.0,NY AM,2,25354.0,25400.0
2026-03-10 19:21:00+00:00,2026-03-10 19:22:00+00:00,25260.5,25225.0,bullish,-27.8,stop_loss,0.0,NY PM,1,25247.5,25286.5
2026-03-11 08:19:00+00:00,2026-03-11 08:22:00+00:00,25235.0,25235.0,bullish,-9.8,stop_loss,0.0,London AM,2,25231.0,25245.0
