timestamp_entry,timestamp_exit,direction,entry_price,exit_price,tp_price,sl_price,gap_size,pnl_usd,exit_reason,h1_sweep_bars_ago,m15_confirmed,kill_zone_active,vol_regime_pct,contracts
2025-07-07T09:35:00-04:00,2025-07-07T10:35:00-04:00,BEARISH,22935.125,22918.75,22849.625,23006.375,14.25,159.75,TIME_STOP,0,False,True,0.5217,5
2025-07-14T09:44:00-04:00,2025-07-14T10:48:00-04:00,BEARISH,22892.75,22957.0,22718.75,23037.75,29.0,-646.5,TIME_STOP,0,False,True,0.0,5
2025-07-16T11:21:00-04:00,2025-07-16T12:26:00-04:00,BEARISH,22957.5,22967.5,22807.5,23082.5,25.0,-104.0,TIME_STOP,0,False,False,0.1957,5
2025-07-23T07:10:00-04:00,2025-07-23T08:16:00-04:00,BEARISH,23252.5,23260.75,23168.5,23322.5,14.0,-86.5,TIME_STOP,0,False,False,0.3261,5
2025-07-23T09:33:00-04:00,2025-07-23T10:00:00-04:00,BEARISH,23218.125,23159.625,23159.625,23266.875,9.75,581.0,TP,0,False,True,0.1304,5
2025-07-23T10:01:00-04:00,2025-07-23T11:01:00-04:00,BEARISH,23173.875,23212.25,23106.375,23230.125,11.25,-387.75,TIME_STOP,0,False,True,0.3261,5
2025-07-24T10:11:00-04:00,2025-07-24T11:36:00-04:00,BEARISH,23346.25,23375.25,23259.25,23418.75,14.5,-294.0,TIME_STOP,0,False,True,0.0435,5
2025-07-30T08:11:00-04:00,2025-07-30T09:15:00-04:00,BEARISH,23490.875,23484.0,23438.375,23534.625,8.75,64.75,TIME_STOP,0,False,False,0.1087,5
2025-07-30T10:11:00-04:00,2025-07-30T10:52:00-04:00,BEARISH,23487.875,23534.125,23432.375,23534.125,9.25,-466.5,SL,0,False,True,0.1087,5
2025-07-30T10:59:00-04:00,2025-07-30T13:14:00-04:00,BEARISH,23531.625,23532.75,23476.125,23577.875,9.25,-15.25,TIME_STOP,0,False,True,0.1087,5
2025-07-30T14:58:00-04:00,2025-07-30T16:03:00-04:00,BEARISH,23466.125,23549.875,23365.625,23549.875,16.75,-841.5,SL,4,False,False,0.5217,5
2025-08-07T12:42:00-04:00,2025-08-07T13:51:00-04:00,BEARISH,23458.0,23403.0,23380.0,23523.0,13.0,546.0,TIME_STOP,0,False,False,0.1739,5
2025-08-14T10:59:00-04:00,2025-08-14T11:26:00-04:00,BEARISH,23959.375,23891.875,23891.875,24015.625,11.25,671.0,TP,0,False,True,0.3913,5
2025-08-14T11:27:00-04:00,2025-08-14T12:32:00-04:00,BEARISH,23898.625,23898.0,23759.125,24014.875,23.25,2.25,TIME_STOP,0,False,False,0.6304,5
2025-08-22T09:32:00-04:00,2025-08-22T10:01:00-04:00,BEARISH,23247.75,23360.25,23112.75,23360.25,22.5,-1129.0,SL,0,False,True,0.0,5
2025-08-27T15:14:00-04:00,2025-08-27T16:18:00-04:00,BEARISH,23587.875,23621.75,23514.375,23649.125,12.25,-342.75,TIME_STOP,0,False,False,0.3696,5
2025-09-15T04:03:00-04:00,2025-09-15T05:17:00-04:00,BEARISH,24360.5,24325.5,24273.5,24433.0,14.5,346.0,TIME_STOP,0,False,False,0.0,5
2025-09-17T04:36:00-04:00,2025-09-17T05:58:00-04:00,BEARISH,24510.25,24512.75,24444.25,24565.25,11.0,-29.0,TIME_STOP,0,False,False,0.1087,5
2025-09-19T16:01:00-04:00,2025-09-21T18:03:00-04:00,BEARISH,24870.125,24856.25,24805.625,24923.875,10.75,134.75,TIME_STOP,2,False,False,0.1957,5
2025-09-25T08:00:00-04:00,2025-09-25T09:03:00-04:00,BEARISH,24604.5,24557.25,24529.5,24667.0,12.5,468.5,TIME_STOP,3,False,False,0.2174,5
2025-09-25T09:32:00-04:00,2025-09-25T10:33:00-04:00,BEARISH,24560.625,24627.25,24409.125,24686.875,25.25,-670.25,TIME_STOP,4,False,True,0.2391,5
2025-09-25T10:52:00-04:00,2025-09-25T11:46:00-04:00,BEARISH,24639.5,24694.5,24573.5,24694.5,11.0,-554.0,SL,5,False,True,0.6522,5
2025-10-02T10:48:00-04:00,2025-10-02T11:48:00-04:00,BEARISH,25047.0,25018.25,24990.0,25094.5,9.5,283.5,TIME_STOP,0,False,True,0.0652,5
2025-10-03T09:43:00-04:00,2025-10-03T10:46:00-04:00,BEARISH,25142.625,25117.5,25009.125,25253.875,22.25,247.25,TIME_STOP,0,False,True,0.0,5
