entry_time,exit_time,entry_price,exit_price,direction,pnl,exit_reason,gap_size,bars_held
2024-01-26 10:25:00+00:00,2024-01-26 10:50:00+00:00,17537.375,17530.5,bearish,4.6875,gap_fill,375.0,5
2024-01-26 10:30:00+00:00,2024-01-26 10:45:00+00:00,17540.625,17541.0,bullish,2.1875,gap_fill,175.0,3
2024-01-26 10:35:00+00:00,2024-01-26 11:30:00+00:00,17539.5,17546.25,bullish,3.625,gap_fill,290.0,11
2024-01-26 10:40:00+00:00,2024-01-26 11:30:00+00:00,17538.25,17546.25,bullish,3.875,gap_fill,310.0,10
2024-01-26 10:45:00+00:00,2024-01-26 10:50:00+00:00,17539.0,17530.5,bearish,3.375,gap_fill,270.0,1
2024-01-26 10:50:00+00:00,2024-01-26 11:30:00+00:00,17535.5,17546.25,bullish,4.625,gap_fill,370.0,8
2024-01-26 10:55:00+00:00,2024-01-26 11:30:00+00:00,17535.5,17546.25,bullish,5.125,gap_fill,410.0,7
2024-01-26 11:00:00+00:00,2024-01-26 11:10:00+00:00,17533.125,17528.0,bearish,3.4375,gap_fill,275.0,2
2024-01-26 11:05:00+00:00,2024-01-26 11:15:00+00:00,17533.25,17522.75,bearish,4.0,gap_fill,320.0,2
2024-01-26 11:10:00+00:00,2024-01-26 11:20:00+00:00,17533.125,17539.75,bullish,3.4375,gap_fill,275.0,2
2024-01-26 11:15:00+00:00,2024-01-26 11:30:00+00:00,17530.75,17546.25,bullish,5.25,gap_fill,420.0,3
2024-01-26 11:20:00+00:00,2024-01-26 11:25:00+00:00,17527.375,17538.5,bullish,2.5625,gap_fill,205.0,1
2024-01-26 11:25:00+00:00,2024-01-26 12:10:00+00:00,17530.375,17570.5,bearish,-20.25,stop_loss,405.0,9
2024-01-26 11:30:00+00:00,2024-01-26 11:35:00+00:00,17539.25,17540.0,bullish,0.375,gap_fill,30.0,1
2024-01-26 11:35:00+00:00,2024-01-26 12:15:00+00:00,17541.375,17577.25,bearish,-16.25,stop_loss,325.0,8
2024-01-26 11:40:00+00:00,2024-01-26 11:55:00+00:00,17544.5,17549.0,bullish,3.125,gap_fill,250.0,3
2024-01-26 11:45:00+00:00,2024-01-26 11:55:00+00:00,17542.0,17549.0,bullish,3.75,gap_fill,300.0,2
2024-01-26 11:50:00+00:00,2024-01-26 12:00:00+00:00,17542.625,17561.5,bearish,-8.75,stop_loss,175.0,2
2024-01-26 11:55:00+00:00,2024-01-26 12:15:00+00:00,17542.875,17577.25,bearish,-16.75,stop_loss,335.0,4
2024-01-26 12:00:00+00:00,2024-01-26 14:00:00+00:00,17550.625,17578.0,bearish,-23.75,stop_loss,475.0,12
2024-01-26 12:05:00+00:00,2024-01-26 14:00:00+00:00,17553.875,17578.0,bearish,-20.25,stop_loss,405.0,11
2024-01-26 12:10:00+00:00,2024-01-26 14:15:00+00:00,17559.25,17550.75,bearish,5.875,gap_fill,470.0,13
2024-01-26 12:15:00+00:00,2024-01-26 14:05:00+00:00,17568.375,17570.5,bearish,5.9375,gap_fill,475.0,10
2024-01-26 12:20:00+00:00,2024-01-26 14:05:00+00:00,17570.125,17570.5,bearish,5.8125,gap_fill,465.0,9
2024-01-26 12:25:00+00:00,2024-01-26 12:30:00+00:00,17575.75,17582.75,bullish,2.25,gap_fill,180.0,1
2024-01-26 12:30:00+00:00,2024-01-26 12:50:00+00:00,17579.625,17571.75,bearish,2.9375,gap_fill,235.0,4
2024-01-26 12:35:00+00:00,2024-01-26 12:50:00+00:00,17580.75,17571.75,bearish,4.75,gap_fill,380.0,3
2024-01-26 12:40:00+00:00,2024-01-26 12:50:00+00:00,17581.875,17571.75,bearish,4.1875,gap_fill,335.0,2
2024-01-26 12:45:00+00:00,2024-01-26 12:50:00+00:00,17585.5,17571.75,bearish,1.875,gap_fill,150.0,1
2024-01-26 12:50:00+00:00,2024-01-26 14:00:00+00:00,17579.375,17578.0,bullish,5.4375,gap_fill,435.0,2
2024-01-26 12:55:00+00:00,2024-01-26 14:00:00+00:00,17576.125,17578.0,bullish,6.5625,gap_fill,525.0,1
2024-01-26 14:00:00+00:00,2024-01-26 14:05:00+00:00,17585.25,17570.5,bearish,8.375,gap_fill,670.0,1
2024-01-26 14:05:00+00:00,2024-01-26 14:10:00+00:00,17570.375,17549.25,bearish,3.6875,gap_fill,295.0,1
2024-01-26 14:10:00+00:00,2024-01-26 15:30:00+00:00,17575.0,17600.75,bullish,13.5,gap_fill,1080.0,16
2024-01-26 14:15:00+00:00,2024-01-26 15:25:00+00:00,17561.5,17578.5,bullish,8.125,gap_fill,650.0,14
2024-01-26 14:20:00+00:00,2024-01-26 14:25:00+00:00,17549.5,17556.5,bearish,-3.0,stop_loss,60.0,1
2024-01-26 14:25:00+00:00,2024-01-26 14:30:00+00:00,17550.0,17567.25,bullish,4.875,gap_fill,390.0,1
2024-01-26 14:30:00+00:00,2024-01-26 14:35:00+00:00,17551.625,17550.0,bearish,9.3125,gap_fill,745.0,1
2024-01-26 14:35:00+00:00,2024-01-26 14:40:00+00:00,17555.875,17557.0,bearish,7.8125,gap_fill,625.0,1
2024-01-26 14:40:00+00:00,2024-01-26 15:25:00+00:00,17554.375,17578.5,bullish,7.9375,gap_fill,635.0,9
2024-01-26 14:45:00+00:00,2024-01-26 14:50:00+00:00,17544.0,17521.0,bearish,8.0,gap_fill,640.0,1
2024-01-26 14:50:00+00:00,2024-01-26 15:25:00+00:00,17538.875,17578.5,bullish,11.8125,gap_fill,945.0,7
2024-01-26 14:55:00+00:00,2024-01-26 15:20:00+00:00,17538.375,17552.5,bullish,10.8125,gap_fill,865.0,5
2024-01-26 15:00:00+00:00,2024-01-26 15:05:00+00:00,17532.875,17530.75,bearish,8.8125,gap_fill,705.0,1
2024-01-26 15:05:00+00:00,2024-01-26 15:20:00+00:00,17525.0,17552.5,bullish,10.5,gap_fill,840.0,3
