slow_length,entry_line,exit_type,mtf_slope_filter,sl_pct,tp_pct,trade_count,win_rate_pct,profit_factor,avg_hold_bars,total_pnl,sharpe,pct_sl,pct_tp,pct_timeout
200,lower,midline,False,0.01,0.01,7491,67.9,0.9844,37.2,-13671.5,-0.33,8.0,0.5,0.0
200,upper,timeout,True,0.005,0.01,2075,36.8,0.984,180.3,-9408.5,-0.24,58.7,27.4,13.9
500,lower,midline,False,0.005,0.02,4218,62.1,0.9839,51.1,-10501.5,-0.32,32.0,0.1,0.0
400,mid,timeout,False,0.02,0.03,1537,48.2,0.9838,433.0,-11272.0,-0.16,15.0,5.1,79.8
300,lower,timeout,True,0.01,0.02,649,45.1,0.9837,353.4,-4166.5,-0.14,35.6,10.2,54.2
200,upper,timeout,True,0.01,0.01,1702,50.1,0.9837,274.7,-10173.0,-0.21,34.4,34.4,31.1
200,lower,midline,False,0.02,0.01,7229,68.4,0.9836,40.5,-13872.5,-0.3,2.0,0.5,0.0
500,lower,midline,False,0.005,0.03,4218,62.1,0.9831,51.1,-11003.5,-0.33,32.0,0.0,0.0
500,lower,midline,True,0.005,0.02,625,60.5,0.983,67.1,-1734.5,-0.15,33.8,0.0,0.0
500,lower,midline,True,0.005,0.03,625,60.5,0.983,67.1,-1734.5,-0.15,33.8,0.0,0.0
300,upper,timeout,False,0.02,0.03,1512,48.4,0.9829,433.8,-11727.0,-0.17,14.6,5.2,80.2
400,mid,midline,True,0.005,0.02,2175,51.7,0.9828,34.6,-2791.5,-0.14,12.1,1.2,0.1
400,upper,timeout,True,0.01,0.03,1237,44.8,0.9827,369.3,-8576.5,-0.16,36.5,4.7,58.8
500,lower,midline,True,0.01,0.01,613,66.6,0.9826,89.3,-1912.0,-0.14,15.7,1.6,0.0
300,upper,midline,True,0.02,0.02,2914,36.7,0.9823,72.5,-7061.5,-0.18,1.5,2.0,0.0
300,upper,midline,True,0.01,0.01,3005,37.4,0.9822,62.9,-7089.5,-0.21,5.5,8.5,0.0
500,lower,upper_rail,True,0.01,0.01,553,61.5,0.9822,151.5,-2389.0,-0.14,22.4,5.2,1.3
300,mid,upper_rail,False,0.01,0.03,5562,70.3,0.982,62.4,-14173.5,-0.3,11.9,0.2,0.0
200,mid,midline,False,0.02,0.02,11623,47.0,0.9817,33.1,-16331.5,-0.29,0.8,0.9,0.0
200,lower,timeout,False,0.01,0.01,2499,50.2,0.9813,249.4,-17475.0,-0.31,36.3,35.9,27.7
200,upper,midline,False,0.005,0.02,7060,35.9,0.9812,53.3,-17324.0,-0.35,17.4,1.6,0.0
300,upper,midline,True,0.005,0.01,3024,36.3,0.9809,56.2,-7515.0,-0.25,16.6,8.3,0.0
500,lower,upper_rail,False,0.01,0.03,2550,61.8,0.9807,136.1,-12618.5,-0.28,24.5,0.0,1.8
500,lower,upper_rail,False,0.005,0.02,3175,51.0,0.9805,94.0,-13235.5,-0.36,44.9,0.3,0.8
500,lower,upper_rail,False,0.01,0.02,2552,61.8,0.9804,135.9,-12833.5,-0.29,24.5,0.4,1.8
300,upper,timeout,True,0.02,0.02,1217,50.0,0.9804,419.7,-10411.0,-0.18,13.4,13.5,73.1
400,upper,midline,True,0.005,0.03,2486,32.0,0.9803,79.5,-7432.0,-0.23,20.0,0.9,0.1
400,mid,timeout,True,0.01,0.02,899,44.8,0.9802,359.5,-6803.5,-0.17,34.3,11.0,54.7
400,lower,midline,False,0.02,0.02,4075,70.6,0.9801,70.0,-13250.5,-0.28,4.6,0.0,0.0
200,upper,timeout,True,0.005,0.03,1675,31.2,0.9801,254.3,-10192.0,-0.21,63.1,4.0,32.9
300,mid,upper_rail,False,0.02,0.02,5094,71.6,0.98,73.4,-14541.0,-0.3,3.5,0.3,0.1
300,upper,midline,True,0.005,0.03,2915,35.2,0.9798,63.9,-7765.0,-0.23,16.9,0.5,0.0
300,upper,timeout,True,0.02,0.01,1419,55.5,0.9793,340.1,-11686.0,-0.21,12.3,37.6,50.0
400,lower,midline,False,0.02,0.03,4075,70.6,0.9792,70.0,-13845.5,-0.3,4.6,0.0,0.0
300,lower,upper_rail,False,0.02,0.01,3394,64.4,0.9792,112.3,-15222.0,-0.3,6.0,4.0,0.1
500,upper,timeout,False,0.02,0.03,1371,49.3,0.9784,436.3,-13187.5,-0.21,14.3,5.0,80.7
500,upper,timeout,True,0.005,0.03,1432,31.6,0.9783,254.8,-9528.0,-0.23,62.8,3.4,33.7
300,lower,upper_rail,False,0.01,0.01,3725,62.3,0.978,96.0,-17311.5,-0.36,18.6,4.1,0.1
