timestamp,month,pnl_base,pnl_dep,cum_baseline,cum_deployed
1748529360000000000,2025-05,-66.8,-66.8,-114.60000000000034,129.29999999999956
1748588880000000000,2025-05,-19.3,-19.3,-133.90000000000035,109.99999999999956
1748589240000000000,2025-05,13.2,13.2,-120.70000000000034,123.19999999999956
1748591400000000000,2025-05,-11.3,-11.3,-132.00000000000034,111.89999999999957
1748613300000000000,2025-05,-191.8,0.0,-323.80000000000035,111.89999999999957
1748872260000000000,2025-06,-259.3,-259.3,-583.1000000000004,-147.40000000000043
1748875320000000000,2025-06,-184.3,-184.3,-767.4000000000003,-331.70000000000044
1749046440000000000,2025-06,268.2,268.2,-499.20000000000033,-63.500000000000455
1749134280000000000,2025-06,-199.3,-199.3,-698.5000000000003,-262.80000000000047
1749148620000000000,2025-06,190.7,0.0,-507.80000000000035,-262.80000000000047
1749220620000000000,2025-06,175.7,175.7,-332.10000000000036,-87.10000000000048
1749649140000000000,2025-06,105.7,105.7,-226.40000000000038,18.599999999999525
1749650100000000000,2025-06,-89.3,-89.3,-315.7000000000004,-70.70000000000047
1749667260000000000,2025-06,230.7,230.7,-85.0000000000004,159.99999999999952
1750098480000000000,2025-06,10.7,0.0,-74.3000000000004,159.99999999999952
1750098840000000000,2025-06,18.2,0.0,-56.10000000000039,159.99999999999952
1750100040000000000,2025-06,-14.3,0.0,-70.40000000000039,159.99999999999952
1750144080000000000,2025-06,113.2,0.0,42.79999999999961,159.99999999999952
1750166640000000000,2025-06,43.2,0.0,85.99999999999962,159.99999999999952
1750167180000000000,2025-06,20.95,0.0,106.94999999999962,159.99999999999952
1750183860000000000,2025-06,83.2,0.0,190.14999999999964,159.99999999999952
1750185240000000000,2025-06,70.7,0.0,260.8499999999996,159.99999999999952
1750231740000000000,2025-06,-9.3,0.0,251.5499999999996,159.99999999999952
1750232160000000000,2025-06,-66.8,0.0,184.7499999999996,159.99999999999952
1750255560000000000,2025-06,148.2,148.2,332.9499999999996,308.1999999999995
1750257420000000000,2025-06,-14.3,-14.3,318.6499999999996,293.89999999999947
1750257900000000000,2025-06,-119.3,0.0,199.34999999999957,293.89999999999947
1750269780000000000,2025-06,-64.3,0.0,135.04999999999956,293.89999999999947
1750271340000000000,2025-06,-141.8,0.0,-6.750000000000455,293.89999999999947
1750338780000000000,2025-06,15.7,0.0,8.949999999999545,293.89999999999947
1750339860000000000,2025-06,-66.8,0.0,-57.85000000000045,293.89999999999947
1750403220000000000,2025-06,-31.8,0.0,-89.65000000000045,293.89999999999947
1750405080000000000,2025-06,-31.8,0.0,-121.45000000000044,293.89999999999947
1750429680000000000,2025-06,-24.3,0.0,-145.75000000000045,293.89999999999947
1750430880000000000,2025-06,33.2,33.2,-112.55000000000045,327.09999999999945
1750431240000000000,2025-06,-109.05,-109.05,-221.60000000000045,218.04999999999944
1750444800000000000,2025-06,58.2,0.0,-163.40000000000043,218.04999999999944
1750684680000000000,2025-06,68.2,0.0,-95.20000000000043,218.04999999999944
1750685820000000000,2025-06,-84.3,0.0,-179.50000000000043,218.04999999999944
1750688040000000000,2025-06,-39.3,0.0,-218.8000000000004,218.04999999999944
1750689000000000000,2025-06,60.7,0.0,-158.10000000000042,218.04999999999944
1750690920000000000,2025-06,-49.3,-49.3,-207.40000000000043,168.74999999999943
1750702620000000000,2025-06,-54.3,0.0,-261.70000000000044,168.74999999999943
1750788540000000000,2025-06,-11.8,0.0,-273.50000000000045,168.74999999999943
1750790040000000000,2025-06,5.7,0.0,-267.80000000000047,168.74999999999943
1750836360000000000,2025-06,-11.8,0.0,-279.6000000000005,168.74999999999943
1750836960000000000,2025-06,18.2,0.0,-261.4000000000005,168.74999999999943
1750857240000000000,2025-06,-49.3,0.0,-310.7000000000005,168.74999999999943
1750859880000000000,2025-06,30.7,0.0,-280.0000000000005,168.74999999999943
1750860360000000000,2025-06,20.7,0.0,-259.3000000000005,168.74999999999943
1750863540000000000,2025-06,23.2,0.0,-236.10000000000053,168.74999999999943
1750875300000000000,2025-06,13.2,0.0,-222.90000000000055,168.74999999999943
1750943880000000000,2025-06,-41.8,0.0,-264.70000000000056,168.74999999999943
