date,session_pnl,cumulative_pnl,drawdown
2025-11-18,168.35,1351.85,406.10
2025-11-19,150.35,1502.20,255.75
2025-11-20,-183.80,1318.40,439.55
2025-11-21,-160.80,1157.60,600.35
2025-11-24,163.10,1320.70,437.25
2025-11-25,249.70,1570.40,187.55
2025-11-26,-89.80,1480.60,277.35
2025-11-27,0.00,1480.60,277.35
2025-11-28,0.00,1480.60,277.35
2025-12-01,-181.80,1298.80,459.15
2025-12-02,-149.80,1149.00,608.95
2025-12-03,138.70,1287.70,470.25
2025-12-04,0.00,1287.70,470.25
2025-12-05,-168.80,1118.90,639.05
2025-12-08,-123.80,995.10,762.85
2025-12-09,0.00,995.10,762.85
2025-12-10,0.00,995.10,762.85
2025-12-11,-142.40,852.70,905.25
2025-12-12,263.20,1115.90,642.05
2025-12-15,275.20,1391.10,366.85
2025-12-16,-171.80,1219.30,538.65
2025-12-17,-158.80,1060.50,697.45
2025-12-18,-76.40,984.10,773.85
2025-12-19,-103.40,880.70,877.25
2025-12-22,0.00,880.70,877.25
2025-12-23,0.00,880.70,877.25
2025-12-24,-51.80,828.90,929.05
2025-12-25,0.00,828.90,929.05
2025-12-26,-89.80,739.10,1018.85
2025-12-29,0.00,739.10,1018.85
2025-12-30,-75.80,663.30,1094.65
2025-12-31,-91.80,571.50,1186.45
2026-01-01,0.00,571.50,1186.45
2026-01-02,-123.80,447.70,1310.25
2026-01-05,0.00,447.70,1310.25
2026-01-06,150.70,598.40,1159.55
2026-01-07,-140.80,457.60,1300.35
2026-01-08,-181.80,275.80,1482.15
2026-01-09,-106.40,169.40,1588.55
2026-01-12,0.00,169.40,1588.55
2026-01-13,167.20,336.60,1421.35
2026-01-14,-161.80,174.80,1583.15
2026-01-15,0.00,174.80,1583.15
2026-01-16,92.20,267.00,1490.95
2026-01-19,95.20,362.20,1395.75
2026-01-20,-186.80,175.40,1582.55
2026-01-21,173.20,348.60,1409.35
2026-01-22,-159.80,188.80,1569.15
2026-01-23,134.20,323.00,1434.95
2026-01-26,184.20,507.20,1250.75
2026-01-27,146.20,653.40,1104.55
2026-01-28,0.00,653.40,1104.55
2026-01-29,213.35,866.75,891.20
2026-01-30,-174.80,691.95,1066.00
2026-02-02,288.70,980.65,777.30
2026-02-03,210.35,1191.00,566.95
2026-02-04,0.00,1191.00,566.95
2026-02-05,-137.90,1053.10,704.85
2026-02-06,0.00,1053.10,704.85
2026-02-09,164.60,1217.70,540.25
2026-02-10,-153.80,1063.90,694.05
2026-02-11,150.35,1214.25,543.70
2026-02-12,110.20,1324.45,433.50
2026-02-13,-126.90,1197.55,560.40
2026-02-16,-85.80,1111.75,646.20
2026-02-17,0.00,1111.75,646.20
2026-02-18,258.70,1370.45,387.50
2026-02-19,-110.80,1259.65,498.30
2026-02-20,0.00,1259.65,498.30
2026-02-23,-159.80,1099.85,658.10
2026-02-24,-137.40,962.45,795.50
2026-02-25,-156.80,805.65,952.30
2026-02-26,288.70,1094.35,663.60
2026-02-27,-155.80,938.55,819.40
