month,entry_time,exit_time,entry_price,exit_price,direction,pnl,exit_reason,killzone_window,lr_regime,cumulative_pnl
2025-05,2025-05-21T14:44:00+00:00,2025-05-21T14:48:00+00:00,107697.0,107943.0,bearish,-248.0,stop_loss,NY AM,UP,-122.0
2025-05,2025-05-26T08:23:00+00:00,2025-05-26T08:24:00+00:00,109985.5,109914.0,bearish,69.5,target,London AM,UP,-52.5
2025-05,2025-05-30T14:54:00+00:00,2025-05-30T14:55:00+00:00,105349.5,105408.5,bearish,-61.0,stop_loss,NY AM,SIDEWAYS,-113.5
2025-06,2025-06-02T14:43:00+00:00,2025-06-02T14:44:00+00:00,104530.0,104442.0,bullish,-90.0,stop_loss,NY AM,SIDEWAYS,-203.5
2025-06,2025-06-04T14:35:00+00:00,2025-06-04T14:47:00+00:00,104699.5,104835.0,bullish,133.5,target,NY AM,DOWN,-70.0
2025-06,2025-06-09T08:07:00+00:00,2025-06-09T08:24:00+00:00,105646.5,105613.5,bullish,-35.0,stop_loss,London AM,SIDEWAYS,-105.0
2025-06,2025-06-18T14:16:00+00:00,2025-06-18T14:20:00+00:00,104913.5,105120.0,bullish,204.5,target,NY AM,DOWN,99.5
2025-06,2025-06-20T08:42:00+00:00,2025-06-20T08:43:00+00:00,106348.0,106290.0,bullish,-60.0,stop_loss,London AM,SIDEWAYS,39.5
2025-06,2025-06-23T14:04:00+00:00,2025-06-23T14:11:00+00:00,102382.0,102282.0,bullish,-102.0,stop_loss,NY AM,DOWN,-62.5
2025-06,2025-06-27T14:56:00+00:00,2025-06-27T15:00:00+00:00,106495.0,106646.0,bullish,149.0,target,NY AM,DOWN,86.5
2025-06,2025-06-30T09:00:00+00:00,2025-06-30T09:03:00+00:00,107556.0,107540.0,bullish,-18.0,stop_loss,London AM,SIDEWAYS,68.5
2025-06,2025-06-02T08:48:00+00:00,2025-06-02T08:49:00+00:00,105600.5,105535.0,bearish,63.5,target,London AM,UP,132.0
2025-06,2025-06-03T14:16:00+00:00,2025-06-03T14:17:00+00:00,105430.0,105474.0,bearish,-46.0,stop_loss,NY AM,UP,86.0
2025-06,2025-06-06T08:09:00+00:00,2025-06-06T08:18:00+00:00,103339.5,103442.5,bearish,-105.0,stop_loss,London AM,SIDEWAYS,-19.0
2025-06,2025-06-10T08:48:00+00:00,2025-06-10T08:54:00+00:00,109342.5,109182.0,bearish,158.5,target,London AM,SIDEWAYS,139.5
2025-06,2025-06-10T14:53:00+00:00,2025-06-10T15:01:00+00:00,108774.0,108562.0,bearish,210.0,target,NY AM,SIDEWAYS,349.5
2025-06,2025-06-11T08:57:00+00:00,2025-06-11T09:02:00+00:00,109627.0,109515.0,bearish,110.0,target,London AM,SIDEWAYS,459.5
2025-06,2025-06-16T14:01:00+00:00,2025-06-16T14:21:00+00:00,107168.5,107373.5,bearish,-207.0,stop_loss,NY AM,SIDEWAYS,252.5
2025-06,2025-06-17T08:25:00+00:00,2025-06-17T08:26:00+00:00,106747.0,106755.0,bearish,-10.0,stop_loss,London AM,SIDEWAYS,242.5
2025-06,2025-06-20T14:11:00+00:00,2025-06-20T14:19:00+00:00,105599.0,105663.0,bearish,-66.0,stop_loss,NY AM,SIDEWAYS,176.5
2025-06,2025-06-23T08:01:00+00:00,2025-06-23T08:04:00+00:00,101964.0,101976.0,bearish,-14.0,stop_loss,London AM,SIDEWAYS,162.5
2025-06,2025-06-24T08:09:00+00:00,2025-06-24T08:11:00+00:00,105005.5,104793.0,bearish,210.5,target,London AM,UP,373.0
2025-06,2025-06-24T14:02:00+00:00,2025-06-24T14:04:00+00:00,105166.5,105251.5,bearish,-87.0,stop_loss,NY AM,UP,286.0
2025-07,2025-07-01T14:19:00+00:00,2025-07-01T14:22:00+00:00,107024.5,107007.5,bullish,-19.0,stop_loss,NY AM,DOWN,267.0
2025-07,2025-07-02T08:16:00+00:00,2025-07-02T08:17:00+00:00,107424.5,107477.0,bullish,50.5,target,London AM,SIDEWAYS,317.5
2025-07,2025-07-02T14:34:00+00:00,2025-07-02T14:50:00+00:00,107833.0,108148.0,bullish,313.0,target,NY AM,SIDEWAYS,630.5
2025-07,2025-07-04T08:32:00+00:00,2025-07-04T08:33:00+00:00,108841.5,108834.5,bullish,-9.0,stop_loss,London AM,SIDEWAYS,621.5
2025-07,2025-07-07T08:07:00+00:00,2025-07-07T08:10:00+00:00,109065.5,109018.5,bullish,-49.0,stop_loss,London AM,SIDEWAYS,572.5
2025-07,2025-07-07T14:32:00+00:00,2025-07-07T14:35:00+00:00,108149.5,108070.5,bullish,-81.0,stop_loss,NY AM,SIDEWAYS,491.5
2025-07,2025-07-11T14:39:00+00:00,2025-07-11T14:40:00+00:00,118044.0,118012.0,bullish,-34.0,stop_loss,NY AM,SIDEWAYS,457.5
2025-07,2025-07-14T14:27:00+00:00,2025-07-14T14:32:00+00:00,121458.5,121225.5,bullish,-235.0,stop_loss,NY AM,SIDEWAYS,222.5
2025-07,2025-07-16T14:30:00+00:00,2025-07-16T14:31:00+00:00,118520.5,118606.0,bullish,83.5,target,NY AM,SIDEWAYS,306.0
2025-07,2025-07-18T14:05:00+00:00,2025-07-18T14:06:00+00:00,118872.5,118960.0,bullish,85.5,target,NY AM,SIDEWAYS,391.5
2025-07,2025-07-21T14:54:00+00:00,2025-07-21T15:08:00+00:00,118992.0,118820.0,bullish,-174.0,stop_loss,NY AM,SIDEWAYS,217.5
2025-07,2025-07-22T14:32:00+00:00,2025-07-22T14:33:00+00:00,118541.0,118680.0,bullish,137.0,target,NY AM,SIDEWAYS,354.5
2025-07,2025-07-25T08:33:00+00:00,2025-07-25T08:34:00+00:00,115654.0,115584.0,bullish,-72.0,stop_loss,London AM,DOWN,282.5
2025-07,2025-07-28T08:26:00+00:00,2025-07-28T08:31:00+00:00,119130.5,119079.5,bullish,-53.0,stop_loss,London AM,SIDEWAYS,229.5
2025-07,2025-07-30T08:15:00+00:00,2025-07-30T08:16:00+00:00,118111.5,118010.5,bullish,-103.0,stop_loss,London AM,SIDEWAYS,126.5
2025-07,2025-07-30T14:11:00+00:00,2025-07-30T14:12:00+00:00,117750.0,117704.0,bullish,-48.0,stop_loss,NY AM,DOWN,78.5
