month,entry_time,exit_time,entry_price,exit_price,direction,pnl,exit_reason,killzone_window,lr_regime,cumulative_pnl
2025-07,2025-07-04T08:32:00+00:00,2025-07-04T08:33:00+00:00,108841.5,108834.5,bullish,-9.0,stop_loss,London AM,SIDEWAYS,1767.0
2025-07,2025-07-07T08:07:00+00:00,2025-07-07T08:10:00+00:00,109065.5,109018.5,bullish,-49.0,stop_loss,London AM,SIDEWAYS,1718.0
2025-07,2025-07-07T14:32:00+00:00,2025-07-07T14:35:00+00:00,108149.5,108070.5,bullish,-81.0,stop_loss,NY AM,SIDEWAYS,1637.0
2025-07,2025-07-09T08:23:00+00:00,2025-07-09T08:24:00+00:00,108822.0,108816.0,bullish,-8.0,stop_loss,London AM,UP,1629.0
2025-07,2025-07-11T08:38:00+00:00,2025-07-11T08:40:00+00:00,118026.0,117958.0,bullish,-70.0,stop_loss,London AM,UP,1559.0
2025-07,2025-07-11T14:39:00+00:00,2025-07-11T14:40:00+00:00,118044.0,118012.0,bullish,-34.0,stop_loss,NY AM,SIDEWAYS,1525.0
2025-07,2025-07-14T14:27:00+00:00,2025-07-14T14:32:00+00:00,121458.5,121225.5,bullish,-235.0,stop_loss,NY AM,SIDEWAYS,1290.0
2025-07,2025-07-16T14:30:00+00:00,2025-07-16T14:31:00+00:00,118520.5,118606.0,bullish,83.5,target,NY AM,SIDEWAYS,1373.5
2025-07,2025-07-18T14:05:00+00:00,2025-07-18T14:06:00+00:00,118872.5,118960.0,bullish,85.5,target,NY AM,SIDEWAYS,1459.0
2025-07,2025-07-21T14:54:00+00:00,2025-07-21T15:08:00+00:00,118992.0,118820.0,bullish,-174.0,stop_loss,NY AM,SIDEWAYS,1285.0
2025-07,2025-07-22T14:32:00+00:00,2025-07-22T14:33:00+00:00,118541.0,118680.0,bullish,137.0,target,NY AM,SIDEWAYS,1422.0
2025-07,2025-07-28T08:26:00+00:00,2025-07-28T08:31:00+00:00,119130.5,119079.5,bullish,-53.0,stop_loss,London AM,SIDEWAYS,1369.0
2025-07,2025-07-30T08:15:00+00:00,2025-07-30T08:16:00+00:00,118111.5,118010.5,bullish,-103.0,stop_loss,London AM,SIDEWAYS,1266.0
2025-07,2025-07-04T14:28:00+00:00,2025-07-04T16:10:00+00:00,108066.5,107546.0,bearish,518.5,target,NY AM,DOWN,1784.5
2025-07,2025-07-08T09:04:00+00:00,2025-07-08T09:05:00+00:00,108300.0,108312.0,bearish,-14.0,stop_loss,London AM,SIDEWAYS,1770.5
2025-07,2025-07-08T14:23:00+00:00,2025-07-08T14:24:00+00:00,108624.5,108576.0,bearish,46.5,target,NY AM,SIDEWAYS,1817.0
2025-07,2025-07-15T08:30:00+00:00,2025-07-15T09:05:00+00:00,116859.0,116961.0,bearish,-104.0,stop_loss,London AM,DOWN,1713.0
2025-07,2025-07-22T08:35:00+00:00,2025-07-22T08:36:00+00:00,118058.5,118163.5,bearish,-107.0,stop_loss,London AM,SIDEWAYS,1606.0
2025-07,2025-07-23T08:47:00+00:00,2025-07-23T08:48:00+00:00,118456.0,118484.0,bearish,-30.0,stop_loss,London AM,SIDEWAYS,1576.0
2025-07,2025-07-25T08:02:00+00:00,2025-07-25T08:14:00+00:00,115451.0,115757.0,bearish,-308.0,stop_loss,London AM,DOWN,1268.0
2025-07,2025-07-25T14:24:00+00:00,2025-07-25T14:25:00+00:00,115767.5,115818.5,bearish,-53.0,stop_loss,NY AM,SIDEWAYS,1215.0
2025-07,2025-07-28T14:41:00+00:00,2025-07-28T14:44:00+00:00,118233.0,118339.0,bearish,-108.0,stop_loss,NY AM,SIDEWAYS,1107.0
2025-07,2025-07-29T08:39:00+00:00,2025-07-29T08:40:00+00:00,118927.0,118933.0,bearish,-8.0,stop_loss,London AM,SIDEWAYS,1099.0
2025-07,2025-07-29T14:45:00+00:00,2025-07-29T14:50:00+00:00,118322.0,118108.0,bearish,212.0,target,NY AM,DOWN,1311.0
2025-08,2025-08-01T14:31:00+00:00,2025-08-01T14:41:00+00:00,115599.0,115561.0,bullish,-40.0,stop_loss,NY AM,SIDEWAYS,1271.0
2025-08,2025-08-04T08:29:00+00:00,2025-08-04T08:30:00+00:00,114533.5,114470.5,bullish,-65.0,stop_loss,London AM,SIDEWAYS,1206.0
2025-08,2025-08-08T08:56:00+00:00,2025-08-08T09:07:00+00:00,116641.0,116617.0,bullish,-26.0,stop_loss,London AM,SIDEWAYS,1180.0
2025-08,2025-08-11T08:39:00+00:00,2025-08-11T09:04:00+00:00,121687.5,121668.5,bullish,-21.0,stop_loss,London AM,UP,1159.0
2025-08,2025-08-12T14:29:00+00:00,2025-08-12T14:31:00+00:00,119291.5,119208.5,bullish,-85.0,stop_loss,NY AM,SIDEWAYS,1074.0
2025-08,2025-08-13T08:46:00+00:00,2025-08-13T08:53:00+00:00,119920.0,120033.0,bullish,111.0,target,London AM,UP,1185.0
2025-08,2025-08-13T14:15:00+00:00,2025-08-13T14:16:00+00:00,122081.5,121996.5,bullish,-87.0,stop_loss,NY AM,UP,1098.0
2025-08,2025-08-15T08:13:00+00:00,2025-08-15T08:14:00+00:00,119151.5,119070.5,bullish,-83.0,stop_loss,London AM,SIDEWAYS,1015.0
2025-08,2025-08-20T08:35:00+00:00,2025-08-20T08:37:00+00:00,113867.5,113852.5,bullish,-17.0,stop_loss,London AM,SIDEWAYS,998.0
2025-08,2025-08-26T08:19:00+00:00,2025-08-26T08:20:00+00:00,110310.5,110291.5,bullish,-21.0,stop_loss,London AM,SIDEWAYS,977.0
2025-08,2025-08-27T14:15:00+00:00,2025-08-27T14:16:00+00:00,111615.5,111765.0,bullish,147.5,target,NY AM,UP,1124.5
2025-08,2025-08-29T14:22:00+00:00,2025-08-29T14:26:00+00:00,108789.5,108598.5,bullish,-193.0,stop_loss,NY AM,SIDEWAYS,931.5
2025-08,2025-08-06T08:22:00+00:00,2025-08-06T08:25:00+00:00,114103.0,114129.0,bearish,-28.0,stop_loss,London AM,SIDEWAYS,903.5
2025-08,2025-08-06T14:19:00+00:00,2025-08-06T14:20:00+00:00,114276.5,114317.5,bearish,-43.0,stop_loss,NY AM,SIDEWAYS,860.5
2025-08,2025-08-11T14:50:00+00:00,2025-08-11T14:51:00+00:00,120130.5,120143.5,bearish,-15.0,stop_loss,NY AM,SIDEWAYS,845.5
2025-08,2025-08-12T08:40:00+00:00,2025-08-12T08:41:00+00:00,118936.0,118960.0,bearish,-26.0,stop_loss,London AM,DOWN,819.5
2025-08,2025-08-15T14:01:00+00:00,2025-08-15T14:02:00+00:00,117860.5,117899.5,bearish,-41.0,stop_loss,NY AM,DOWN,778.5
2025-08,2025-08-18T08:10:00+00:00,2025-08-18T08:11:00+00:00,115353.0,115443.0,bearish,-92.0,stop_loss,London AM,DOWN,686.5
2025-08,2025-08-18T14:36:00+00:00,2025-08-18T14:37:00+00:00,115368.0,115216.0,bearish,150.0,target,NY AM,SIDEWAYS,836.5
2025-08,2025-08-22T08:42:00+00:00,2025-08-22T08:43:00+00:00,113081.5,113086.5,bearish,-7.0,stop_loss,London AM,DOWN,829.5
2025-08,2025-08-26T14:59:00+00:00,2025-08-26T15:03:00+00:00,110454.5,110565.5,bearish,-113.0,stop_loss,NY AM,DOWN,716.5
2025-08,2025-08-29T09:09:00+00:00,2025-08-29T09:18:00+00:00,109678.5,109737.5,bearish,-61.0,stop_loss,London AM,DOWN,655.5
