entry_time,direction,entry,stop,target,pnl,exit_reason,quality_score,killzone_window,fvg_size,sweep_detected,sweep_strength,date
2025-09-01 11:07:00+00:00,bullish,23490.125,23488.4375,23493.5,67.5,target,67.48992890995261,,105.0,True,1.5,2025-09-01
2025-09-03 14:08:00+00:00,bullish,23671.875,23625.5625,23764.5,-926.25,stop,76.70916993744318,NY AM,495.0,True,24.75,2025-09-03
2025-09-03 11:43:00+00:00,bullish,23673.75,23672.625,23676.0,45.0,target,68.40128304952775,,100.0,True,2.25,2025-09-03
2025-09-03 08:08:00+00:00,bullish,23623.625,23581.0625,23708.75,-851.25,stop,65.11589553454644,,95.0,True,7.25,2025-09-03
2025-09-05 05:43:00+00:00,bullish,23999.5,23970.25,24058.0,-585.0,stop,75.3076923076923,,130.0,True,1.75,2025-09-05
2025-09-05 05:42:00+00:00,bullish,23997.875,23971.0625,24051.5,-536.25,stop,71.4326923076923,,115.0,True,1.25,2025-09-05
2025-09-08 13:42:00+00:00,bullish,24054.75,23972.625,24219.0,-1642.5,stop,80.72098106060619,,600.0,True,19.5,2025-09-08
2025-09-08 13:42:00+00:00,bullish,24054.125,23972.9375,24216.5,-1623.75,stop,76.72098106060619,,705.0,True,0.75,2025-09-08
2025-09-08 20:13:00+00:00,bullish,24033.25,24023.875,24052.0,-187.5,stop,75.13001541717043,,180.0,True,3.0,2025-09-08
2025-09-08 13:46:00+00:00,bullish,24067.875,23966.0625,24271.5,-2036.25,stop,66.34598106060619,,165.0,True,4.25,2025-09-08
2025-10-14 11:33:00+00:00,bullish,24624.375,24613.3125,24646.5,442.5,target,80.48086026106593,,265.0,True,4.25,2025-10-14
2025-10-14 11:33:00+00:00,bullish,24619.375,24615.8125,24626.5,142.5,target,72.48086026106591,,255.0,True,6.75,2025-10-14
2025-11-10 05:37:00+00:00,bearish,25479.0,25490.625,25455.75,-232.5,stop,77.28490853658536,,240.0,True,7.25,2025-11-10
2025-12-01 17:02:00+00:00,bullish,25694.625,25572.5625,25938.75,-2441.25,stop,84.85759322033891,,235.0,True,5.25,2025-12-01
2025-12-01 17:02:00+00:00,bullish,25694.625,25572.5625,25938.75,-2441.25,stop,82.85759322033891,,295.0,True,5.25,2025-12-01
2025-12-01 17:01:00+00:00,bullish,25687.625,25576.0625,25910.75,-2231.25,stop,80.85759322033891,,305.0,True,7.0,2025-12-01
2025-12-03 00:04:00+00:00,bullish,25759.75,25561.375,26156.5,-2300.0,timeout,84.5,,5050.0,True,1.0,2025-12-03
2025-12-03 00:06:00+00:00,bullish,25879.25,25501.625,26634.5,-4785.0,timeout,79.25,,110.0,True,5.5,2025-12-03
2025-12-03 14:42:00+00:00,bullish,25748.75,25727.0,25792.25,-435.0,stop,75.13474826541055,,590.0,True,18.0,2025-12-03
2025-12-04 04:55:00+00:00,bullish,25638.0,25633.875,25646.25,165.0,target,71.10706888361058,,110.0,True,2.0,2025-12-04
2025-12-05 14:35:00+00:00,bullish,26017.5,25928.625,26195.25,-1777.5,stop,82.04466501240695,,300.0,True,16.5,2025-12-05
2025-12-05 14:38:00+00:00,bullish,26014.25,25930.25,26182.25,-1680.0,stop,78.04466501240695,,590.0,True,12.0,2025-12-05
2025-12-05 14:38:00+00:00,bullish,26011.625,25931.5625,26171.75,-1601.25,stop,76.04466501240695,,665.0,True,12.0,2025-12-05
2025-12-05 20:20:00+00:00,bullish,25980.0,25975.5,25989.0,-90.0,stop,68.50390705614554,,90.0,True,8.25,2025-12-05
2025-12-08 18:01:00+00:00,bullish,25928.0,25885.625,26012.75,-847.5,stop,78.19591666666673,,370.0,True,15.25,2025-12-08
2025-12-08 18:09:00+00:00,bullish,25925.75,25886.75,26003.75,-780.0,stop,74.19591666666673,,310.0,True,6.25,2025-12-08
2025-12-09 15:14:00+00:00,bullish,25886.875,25870.5625,25919.5,652.5,target,80.03599226804124,NY AM,425.0,True,11.75,2025-12-09
2025-12-11 01:39:00+00:00,bullish,25931.375,25930.0625,25934.0,52.5,target,70.98857786885239,,125.0,True,3.75,2025-12-11
