entry_time,exit_time,direction,entry_price,exit_price,exit_type,bars_held,pnl
2025-06-25T12:32:00+00:00,2025-06-25T16:45:00+00:00,SHORT,4.908,4.919,sl,6,-27.5
2025-06-27T01:21:00+00:00,2025-06-27T01:57:00+00:00,SHORT,5.0565,5.0695,sl,6,-32.5
2025-06-27T05:43:00+00:00,2025-06-27T09:14:00+00:00,SHORT,5.067,5.035,time,60,80.0
2025-06-27T09:16:00+00:00,2025-06-27T15:31:00+00:00,SHORT,5.0295,5.0515,sl,12,-55.0
2025-07-17T07:02:00+00:00,2025-07-17T08:06:00+00:00,SHORT,5.493,5.502,time,60,-22.5
2025-07-18T12:27:00+00:00,2025-07-18T12:43:00+00:00,SHORT,5.594,5.5575,tp,12,91.25
2025-07-18T12:44:00+00:00,2025-07-18T13:51:00+00:00,SHORT,5.557,5.57,time,60,-32.5
2025-07-21T03:39:00+00:00,2025-07-21T05:21:00+00:00,SHORT,5.601,5.601,time,60,0.0
2025-07-21T10:33:00+00:00,2025-07-21T11:55:00+00:00,SHORT,5.631,5.644,sl,44,-32.5
2025-07-21T12:12:00+00:00,2025-07-21T13:55:00+00:00,SHORT,5.639,5.604,time,60,87.5
2025-07-21T23:39:00+00:00,2025-07-22T01:30:00+00:00,SHORT,5.636,5.6275,time,60,21.25
2025-07-22T02:28:00+00:00,2025-07-22T04:46:00+00:00,SHORT,5.614,5.588,time,60,65.0
2025-07-28T02:32:00+00:00,2025-07-28T03:58:00+00:00,SHORT,5.7875,5.7825,time,60,12.5
2025-07-30T13:33:00+00:00,2025-07-30T14:34:00+00:00,SHORT,5.601,5.574,time,60,67.5
2025-08-04T12:12:00+00:00,2025-08-04T13:19:00+00:00,SHORT,4.447,4.4565,time,60,-23.75
2025-08-05T01:12:00+00:00,2025-08-05T02:50:00+00:00,SHORT,4.463,4.444,time,60,47.5
2025-08-06T06:57:00+00:00,2025-08-06T08:02:00+00:00,SHORT,4.405,4.412,sl,41,-17.5
2025-08-07T11:15:00+00:00,2025-08-07T13:31:00+00:00,SHORT,4.4285,4.433,time,60,-11.25
2025-08-08T01:08:00+00:00,2025-08-08T02:18:00+00:00,SHORT,4.417,4.4095,time,60,18.75
2025-08-08T11:39:00+00:00,2025-08-08T12:34:00+00:00,SHORT,4.427,4.435,sl,22,-20.0
2025-08-18T07:02:00+00:00,2025-08-18T08:18:00+00:00,SHORT,4.474,4.4675,time,60,16.25
2025-08-19T01:31:00+00:00,2025-08-19T03:14:00+00:00,SHORT,4.475,4.481,sl,33,-15.0
2025-08-22T03:25:00+00:00,2025-08-22T05:33:00+00:00,SHORT,4.4495,4.442,time,60,18.75
2025-08-22T08:23:00+00:00,2025-08-22T09:36:00+00:00,SHORT,4.4575,4.446,time,60,28.75
2025-08-22T13:48:00+00:00,2025-08-22T14:01:00+00:00,SHORT,4.446,4.451,sl,0,-12.5
2025-08-22T14:22:00+00:00,2025-08-22T15:23:00+00:00,SHORT,4.4695,4.4775,sl,52,-20.0
2025-08-22T15:58:00+00:00,2025-08-22T17:43:00+00:00,SHORT,4.468,4.474,sl,16,-15.0
2025-08-24T23:08:00+00:00,2025-08-25T00:16:00+00:00,SHORT,4.466,4.473,sl,20,-17.5
2025-09-01T14:23:00+00:00,2025-09-02T17:22:00+00:00,SHORT,4.519,4.544,sl,9,-62.5
