timestamp,date,year_month,label,pnl,p_prod,p_frozen,p_daily,thr_daily
2025-10-08 13:46:00,2025-10-08,2025-10,0,-36.8,0.4581018452473222,0.5236921539729352,0.5473477329059055,0.55
2025-10-08 14:25:00,2025-10-08,2025-10,0,-36.8,0.4581060550427518,0.513666506304983,0.5117124955732417,0.55
2025-10-08 14:45:00,2025-10-08,2025-10,1,50.7,0.4539020500866952,0.5101705034160187,0.516590179361262,0.55
2025-10-08 18:56:00,2025-10-08,2025-10,0,-26.8,0.39854351400322413,0.3897278526322589,0.5772929091449145,0.55
2025-10-09 18:20:00,2025-10-09,2025-10,1,103.2,0.5464071266105106,0.4408560718668378,0.5074818463599245,0.45
2025-10-10 14:08:00,2025-10-10,2025-10,1,105.7,0.5304747915810414,0.5601362111921675,0.5119586242367344,0.45
2025-10-10 18:01:00,2025-10-10,2025-10,1,98.2,0.6622526032152367,0.45095629066758297,0.48056182742147846,0.45
2025-10-10 18:39:00,2025-10-10,2025-10,1,60.7,0.5727005112306627,0.4549768730919967,0.5281914462469177,0.45
2025-10-10 19:01:00,2025-10-10,2025-10,1,170.7,0.6110777858570334,0.4785532544195928,0.5363227194330487,0.45
2025-10-13 13:46:00,2025-10-13,2025-10,1,45.7,0.6948687122214372,0.522922827172521,0.42758706332526414,0.5
2025-10-13 13:55:00,2025-10-13,2025-10,1,133.2,0.5845343855420195,0.5023978426652495,0.5369693274682243,0.5
2025-10-13 14:07:00,2025-10-13,2025-10,1,30.7,0.6157104693085972,0.48110700498823367,0.4527067705693456,0.5
2025-10-13 14:31:00,2025-10-13,2025-10,1,65.7,0.5653891713947785,0.48755211010576993,0.495577738842426,0.5
2025-10-14 14:10:00,2025-10-14,2025-10,1,65.7,0.598661617090932,0.4694071485196009,0.5384852212262847,0.5
2025-10-14 14:16:00,2025-10-14,2025-10,1,63.2,0.5793809204279889,0.4688923239974178,0.528893814458513,0.5
2025-10-14 14:32:00,2025-10-14,2025-10,1,35.7,0.5999106637743433,0.4688967442471493,0.48866277743024106,0.5
2025-10-14 18:15:00,2025-10-14,2025-10,0,-29.3,0.469526518271221,0.3718013866799818,0.5128562149215798,0.5
2025-10-14 18:36:00,2025-10-14,2025-10,0,-91.8,0.50080906413347,0.391892811644429,0.5552944458612642,0.5
2025-10-15 07:05:00,2025-10-15,2025-10,1,8.2,0.3909431739249807,0.5102008510921598,0.48387849307451514,0.5
2025-10-15 07:16:00,2025-10-15,2025-10,0,-11.8,0.4355061244610157,0.5476624090340897,0.4586926392138828,0.5
2025-10-15 07:49:00,2025-10-15,2025-10,0,-16.8,0.3937235253951855,0.5187675709103703,0.48814100216650635,0.5
2025-10-15 18:02:00,2025-10-15,2025-10,0,-59.3,0.5782970311726477,0.41108991518706195,0.5785394711327065,0.5
2025-10-15 18:19:00,2025-10-15,2025-10,1,108.2,0.5695732840531049,0.4320424969231156,0.5746616500319335,0.5
2025-10-15 18:44:00,2025-10-15,2025-10,0,-34.3,0.5373418817874284,0.4191699367844054,0.49297700030265484,0.5
2025-10-15 19:06:00,2025-10-15,2025-10,0,-24.3,0.5333386409770479,0.4272189158053594,0.4990564466661932,0.5
2025-10-16 14:15:00,2025-10-16,2025-10,0,-44.3,0.45669249874215395,0.5338169849846359,0.5319467230157411,0.55
2025-10-16 14:30:00,2025-10-16,2025-10,0,-121.8,0.5066339483145033,0.559406498267604,0.5421549181270501,0.55
2025-10-16 14:54:00,2025-10-16,2025-10,1,53.2,0.4731837959029244,0.5368012146851182,0.492339428125486,0.55
2025-10-16 15:02:00,2025-10-16,2025-10,1,48.2,0.446968331249677,0.5299993182337254,0.49599268835270743,0.55
2025-10-16 18:23:00,2025-10-16,2025-10,0,-76.05,0.5892086808017141,0.44845975218000805,0.7283936481714168,0.55
2025-10-17 07:28:00,2025-10-17,2025-10,0,-66.8,0.6160017280359464,0.5754996725667484,0.4807556912236724,0.5
2025-10-17 07:44:00,2025-10-17,2025-10,1,78.2,0.5292753450391174,0.5487922770048886,0.4987990459622916,0.5
2025-10-17 13:37:00,2025-10-17,2025-10,0,-111.8,0.5348282956039783,0.5549976810105868,0.4974478942053359,0.5
2025-10-17 14:00:00,2025-10-17,2025-10,1,138.2,0.5309019780462069,0.5532909072476034,0.5395821843605162,0.5
2025-10-17 14:18:00,2025-10-17,2025-10,0,-226.8,0.5331307408616579,0.5443470785447438,0.5814811810664315,0.5
2025-10-17 14:47:00,2025-10-17,2025-10,1,280.7,0.4614835181541045,0.5355450702591446,0.5821585556710245,0.5
2025-10-17 18:16:00,2025-10-17,2025-10,0,-39.3,0.4571933956177158,0.42642894185654706,0.5099650778238823,0.5
2025-10-17 18:27:00,2025-10-17,2025-10,0,-21.8,0.39300832860971274,0.4098556168640241,0.4749177169646539,0.5
2025-10-17 18:46:00,2025-10-17,2025-10,1,35.7,0.44736732559411974,0.4192794970693231,0.4866692988335088,0.5
2025-10-21 07:09:00,2025-10-21,2025-10,0,-14.3,0.48352003237397806,0.5093602949897171,0.48843679977361276,0.55
2025-10-21 07:31:00,2025-10-21,2025-10,0,-19.3,0.5424059461054911,0.520634113497245,0.4743602922757176,0.55
2025-10-21 07:52:00,2025-10-21,2025-10,1,8.2,0.4452031725831027,0.5132412095484655,0.53024692527053,0.55
2025-10-22 07:08:00,2025-10-22,2025-10,0,-9.3,0.42504314729325104,0.5086346609052611,0.561604285289653,0.55
2025-10-22 07:18:00,2025-10-22,2025-10,1,60.7,0.4392324538722465,0.5409305126862298,0.5110300326363802,0.55
2025-10-22 13:56:00,2025-10-22,2025-10,0,-54.3,0.5354293635975422,0.5028419814676512,0.4998582863588637,0.55
2025-10-22 15:12:00,2025-10-22,2025-10,0,-81.8,0.5360606382618294,0.5049700505306262,0.5201437966551439,0.55
2025-10-22 18:15:00,2025-10-22,2025-10,1,80.7,0.6593554788122706,0.4369753668860445,0.5132495812436941,0.55
2025-10-22 18:29:00,2025-10-22,2025-10,1,160.7,0.5870141295218262,0.43929130638870056,0.5596496622974474,0.55
2025-10-23 13:32:00,2025-10-23,2025-10,1,25.7,0.5347919591721173,0.4925623503284393,0.49639071873066315,0.55
2025-10-23 13:48:00,2025-10-23,2025-10,1,73.2,0.5732055490269269,0.5341658590153366,0.5204159758288974,0.55
2025-10-23 14:01:00,2025-10-23,2025-10,0,-114.3,0.5531583812306838,0.5067716819732324,0.5454765899253882,0.55
2025-10-23 14:30:00,2025-10-23,2025-10,1,28.2,0.5358775418534538,0.5324749588545208,0.49337129075762565,0.55
2025-10-23 14:44:00,2025-10-23,2025-10,0,-24.3,0.5859316851806166,0.5228792518725863,0.4822401899967084,0.55
2025-10-23 14:53:00,2025-10-23,2025-10,0,-46.8,0.5402239951282591,0.5219557812862222,0.4934708781571507,0.55
2025-10-23 15:13:00,2025-10-23,2025-10,1,50.7,0.5306897483051899,0.5206982051326382,0.489724031023538,0.55
2025-10-23 18:24:00,2025-10-23,2025-10,0,-39.3,0.47464974127871995,0.4159695388979324,0.4758713434748596,0.55
2025-10-24 07:41:00,2025-10-24,2025-10,1,5.7,0.3985772036036115,0.5532439057022321,0.4847667208751492,0.55
2025-10-24 13:34:00,2025-10-24,2025-10,0,-26.8,0.42645223177333325,0.5363788343228889,0.46389393967448217,0.55
2025-10-24 13:57:00,2025-10-24,2025-10,1,128.2,0.45819317057166153,0.5786446531877505,0.5158898742497252,0.55
2025-10-27 07:42:00,2025-10-27,2025-10,0,-6.8,0.40809304125772145,0.4826193850952007,0.49197233065124246,0.55
2025-10-27 07:48:00,2025-10-27,2025-10,1,23.2,0.45623535929524395,0.5244915626377009,0.483906305401305,0.55
2025-10-27 14:15:00,2025-10-27,2025-10,1,28.2,0.5252660489056166,0.4946034671938478,0.4751067943319321,0.55
