date,year,month,contract,side,gap_pct,inside_prior_range,roll_boundary,seen_by_gapv
2023-08-28,2023,8,MNQU23,short,0.821,False,False,False
2023-12-04,2023,12,MNQZ23,long,1.026,False,False,False
2023-12-05,2023,12,MNQZ23,long,0.572,True,False,False
2023-12-06,2023,12,MNQZ23,short,0.791,False,False,False
2023-12-07,2023,12,MNQZ23,short,0.837,True,False,False
2023-12-21,2023,12,MNQH24,short,0.899,True,False,False
2024-01-02,2024,1,MNQH24,long,0.842,False,False,False
2024-01-03,2024,1,MNQH24,long,0.697,False,False,False
2024-01-04,2024,1,MNQH24,long,0.526,False,False,False
2024-01-09,2024,1,MNQH24,long,0.793,True,False,False
2024-01-17,2024,1,MNQH24,long,0.872,False,False,False
2024-01-18,2024,1,MNQH24,short,0.704,False,False,False
2024-01-22,2024,1,MNQH24,short,0.513,False,False,False
2024-01-24,2024,1,MNQH24,short,0.851,False,False,False
2024-01-25,2024,1,MNQH24,short,0.612,True,False,False
2024-01-31,2024,1,MNQH24,long,1.106,False,False,False
2024-02-07,2024,2,MNQH24,short,0.685,False,False,False
2024-02-13,2024,2,MNQH24,long,1.882,False,False,False
2024-02-14,2024,2,MNQH24,short,0.639,True,False,False
2024-02-21,2024,2,MNQH24,long,0.573,True,False,False
2024-02-22,2024,2,MNQH24,short,2.003,False,False,False
2024-02-28,2024,2,MNQH24,long,0.505,True,False,False
2024-02-29,2024,2,MNQH24,short,0.64,False,False,False
2024-03-05,2024,3,MNQH24,long,0.716,False,False,False
2024-03-06,2024,3,MNQH24,short,0.928,True,False,False
2024-03-07,2024,3,MNQH24,short,0.701,False,False,False
2024-03-12,2024,3,MNQH24,short,0.522,False,False,False
2024-03-18,2024,3,MNQM24,short,1.227,False,False,False
2024-03-21,2024,3,MNQM24,short,1.17,False,False,False
2024-03-25,2024,3,MNQM24,long,0.68,False,False,False
2024-03-27,2024,3,MNQM24,short,0.646,True,False,False
2024-04-02,2024,4,MNQM24,long,1.136,False,False,False
2024-04-03,2024,4,MNQM24,long,0.547,True,False,False
2024-04-04,2024,4,MNQM24,short,0.936,False,False,False
2024-04-09,2024,4,MNQM24,short,0.519,False,False,False
2024-04-10,2024,4,MNQM24,long,1.169,False,False,False
2024-04-15,2024,4,MNQM24,short,0.919,True,False,False
2024-04-22,2024,4,MNQM24,short,0.593,True,False,False
2024-04-23,2024,4,MNQM24,short,0.578,True,False,False
2024-04-24,2024,4,MNQM24,short,0.763,False,False,False
2024-04-25,2024,4,MNQM24,long,1.815,False,False,False
2024-05-02,2024,5,MNQM24,short,0.733,True,False,False
2024-05-08,2024,5,MNQM24,long,0.614,False,False,False
2024-05-23,2024,5,MNQM24,short,1.1,False,False,False
2024-05-29,2024,5,MNQM24,long,0.823,False,False,False
2024-06-03,2024,6,MNQM24,short,0.755,False,False,False
2024-06-05,2024,6,MNQM24,short,0.732,False,False,False
2024-06-12,2024,6,MNQM24,short,0.892,False,False,False
2024-06-13,2024,6,MNQM24,short,0.627,False,False,False
2024-07-17,2024,7,MNQU24,long,1.711,False,False,False
2024-07-18,2024,7,MNQU24,short,0.651,True,False,False
2024-07-22,2024,7,MNQU24,short,1.262,True,False,False
2024-07-24,2024,7,MNQU24,long,1.389,False,False,False
2024-07-29,2024,7,MNQU24,short,0.67,True,False,False
2024-07-31,2024,7,MNQU24,short,2.126,False,False,False
2024-08-05,2024,8,MNQU24,long,5.073,False,False,False
2024-08-06,2024,8,MNQU24,short,0.515,True,False,False
2024-08-07,2024,8,MNQU24,short,1.575,True,False,False
2024-08-08,2024,8,MNQU24,short,1.464,True,False,False
2024-08-13,2024,8,MNQU24,short,1.113,False,False,False
2024-08-15,2024,8,MNQU24,short,1.128,False,False,False
2024-12-04,2024,12,MNQZ24,short,0.681,False,False,False
2024-12-11,2024,12,MNQZ24,short,0.876,True,False,False
2024-12-19,2024,12,MNQZ24,short,0.602,True,False,False
2024-12-30,2024,12,MNQH25,long,1.291,False,False,False
