root,symbol,expiration_date,point_value,n_bars,first_date,last_date
MGC,MGCZ24,2024-12-27T00:00:00Z,10,510,2022-12-16,2024-12-27
MGC,MGCG25,2025-02-26T00:00:00Z,10,422,2023-04-03,2025-02-26
MGC,MGCJ25,2025-04-28T00:00:00Z,10,481,2023-05-30,2025-04-28
MGC,MGCM25,2025-06-26T00:00:00Z,10,509,2023-06-16,2025-06-26
MGC,MGCQ25,2025-08-27T00:00:00Z,10,481,2023-09-28,2025-08-27
MGC,MGCV25,2025-10-29T00:00:00Z,10,482,2023-11-29,2025-10-29
MGC,MGCZ25,2025-12-29T00:00:00Z,10,511,2023-12-15,2025-12-29
MGC,MGCG26,2026-02-25T00:00:00Z,10,481,2024-03-27,2026-02-25
MGC,MGCJ26,2026-04-28T00:00:00Z,10,480,2024-05-30,2026-04-28
MGC,MGCM26,2026-06-26T00:00:00Z,10,510,2024-06-14,2026-06-26
MGC,MGCQ26,2026-08-27T00:00:00Z,10,440,2024-11-22,2026-08-27
MGC,MGCV26,2026-10-28T00:00:00Z,10,443,2024-11-27,2026-09-04
MGC,MGCZ26,2026-12-29T00:00:00Z,10,430,2024-12-17,2026-09-04
SIL,SILH20,2020-03-27T00:00:00Z,1000,253,2019-03-28,2020-03-27
SIL,SILK20,2020-05-27T00:00:00Z,1000,251,2019-05-30,2020-05-27
SIL,SILN20,2020-07-29T00:00:00Z,1000,253,2019-07-30,2020-07-29
SIL,SILU20,2020-09-28T00:00:00Z,1000,253,2019-09-27,2020-09-28
SIL,SILZ20,2020-12-29T00:00:00Z,1000,253,2019-12-30,2020-12-29
SIL,SILH21,2021-03-29T00:00:00Z,1000,252,2020-03-30,2021-03-29
SIL,SILK21,2021-05-26T00:00:00Z,1000,259,2020-05-18,2021-05-26
SIL,SILN21,2021-07-28T00:00:00Z,1000,260,2020-07-17,2021-07-28
SIL,SILU21,2021-09-28T00:00:00Z,1000,262,2020-09-16,2021-09-28
SIL,SILZ21,2021-12-29T00:00:00Z,1000,260,2020-12-17,2021-12-29
SIL,SILH22,2022-03-29T00:00:00Z,1000,262,2021-03-17,2022-03-29
SIL,SILK22,2022-05-26T00:00:00Z,1000,262,2021-05-14,2022-05-26
SIL,SILN22,2022-07-27T00:00:00Z,1000,260,2021-07-16,2022-07-27
SIL,SILU22,2022-09-28T00:00:00Z,1000,261,2021-09-16,2022-09-28
SIL,SILZ22,2022-12-28T00:00:00Z,1000,259,2021-12-17,2022-12-28
SIL,SILH23,2023-03-29T00:00:00Z,1000,260,2022-03-17,2023-03-29
SIL,SILK23,2023-05-26T00:00:00Z,1000,260,2022-05-16,2023-05-26
SIL,SILN23,2023-07-27T00:00:00Z,1000,260,2022-07-15,2023-07-27
SIL,SILU23,2023-09-27T00:00:00Z,1000,259,2022-09-16,2023-09-27
SIL,SILZ23,2023-12-27T00:00:00Z,1000,258,2022-12-16,2023-12-27
SIL,SILH24,2024-03-26T00:00:00Z,1000,258,2023-03-17,2024-03-26
SIL,SILK24,2024-05-29T00:00:00Z,1000,260,2023-05-17,2024-05-29
SIL,SILN24,2024-07-29T00:00:00Z,1000,261,2023-07-17,2024-07-29
SIL,SILU24,2024-09-26T00:00:00Z,1000,260,2023-09-15,2024-09-26
SIL,SILZ24,2024-12-27T00:00:00Z,1000,260,2023-12-15,2024-12-27
SIL,SILH25,2025-03-27T00:00:00Z,1000,261,2024-03-14,2025-03-27
SIL,SILK25,2025-05-28T00:00:00Z,1000,258,2024-05-17,2025-05-28
SIL,SILN25,2025-07-29T00:00:00Z,1000,260,2024-07-17,2025-07-29
SIL,SILU25,2025-09-26T00:00:00Z,1000,260,2024-09-16,2025-09-26
SIL,SILZ25,2025-12-29T00:00:00Z,1000,259,2024-12-17,2025-12-29
SIL,SILH26,2026-03-27T00:00:00Z,1000,260,2025-03-17,2026-03-27
SIL,SILK26,2026-05-27T00:00:00Z,1000,258,2025-05-16,2026-05-27
SIL,SILN26,2026-07-29T00:00:00Z,1000,261,2025-07-16,2026-07-29
